"","gene","cluster_id","sc_122.cpm","sc_126.cpm","sc_123.cpm","sc_127.cpm","sc_122.frq","sc_126.frq","sc_123.frq","sc_127.frq","WT.frq","gtl1.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"508","AT3G55740","Elongation_Atrichoblast",13.4,14.9,21.5,24.7,0.115,0.136,0.174,0.166,0.124,0.17,0.7,4.25,12.1,0.000966,0.0321,1,"gtl1-WT","PROT2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"509","AT3G56210","Elongation_Atrichoblast",19.4,20,36.5,38.3,0.138,0.154,0.237,0.225,0.145,0.232,0.928,4.86,23.9,8.61e-06,0.000853,1,"gtl1-WT","AT3G56210",NA,NA,"Up","Elongation_Atrichoblast_Up"
"510","AT3G57520","Elongation_Atrichoblast",26.7,21.9,41.8,37.8,0.189,0.19,0.285,0.216,0.189,0.254,0.712,5.03,14.6,0.00033,0.0141,1,"gtl1-WT","RFS2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"511","AT3G57750","Elongation_Atrichoblast",18.7,17.3,10.5,8.17,0.126,0.136,0.0852,0.0579,0.13,0.0729,-0.943,3.79,18.8,5.9e-05,0.00374,1,"gtl1-WT","ZED1",NA,NA,"Down","Elongation_Atrichoblast_Down"
"512","AT3G59370","Elongation_Atrichoblast",67.8,14.6,91.9,119,0.164,0.141,0.213,0.218,0.154,0.215,1.6,6.21,38.5,6.7e-08,1.51e-05,0.0352,"gtl1-WT","AT3G59370",NA,NA,"Up","Elongation_Atrichoblast_Up"
"513","AT3G59480","Elongation_Atrichoblast",8.16,9.89,16.4,30.2,0.0487,0.0384,0.0949,0.109,0.0443,0.101,1.32,4.04,36.5,1.24e-07,2.54e-05,0.0652,"gtl1-WT","AT3G59480",NA,NA,"Up","Elongation_Atrichoblast_Up"
"514","AT3G60280","Elongation_Atrichoblast",7.2,6.47,16,15.3,0.0613,0.0661,0.128,0.1,0.0633,0.116,1.19,3.56,26.3,3.66e-06,0.000423,1,"gtl1-WT","UCC3",NA,NA,"Up","Elongation_Atrichoblast_Up"
"515","AT3G60440","Elongation_Atrichoblast",10.9,7.01,15.2,16,0.0975,0.0661,0.119,0.116,0.0842,0.117,0.805,3.67,12.4,0.000845,0.0291,1,"gtl1-WT","AT3G60440",NA,NA,"Up","Elongation_Atrichoblast_Up"
"516","AT3G60520","Elongation_Atrichoblast",26.4,36.9,17,13.2,0.159,0.194,0.125,0.0855,0.174,0.107,-1.04,4.55,26.3,3.74e-06,0.000423,1,"gtl1-WT","AT3G60520",NA,NA,"Down","Elongation_Atrichoblast_Down"
"517","AT3G60550","Elongation_Atrichoblast",19.5,21.9,12.5,10.5,0.11,0.145,0.0895,0.0697,0.125,0.0806,-0.84,4.02,16.1,0.000176,0.00866,1,"gtl1-WT","CYCU2-2",NA,NA,"Down","Elongation_Atrichoblast_Down"
"518","AT3G61560","Elongation_Atrichoblast",12.3,16.4,27.5,25.7,0.0959,0.168,0.203,0.168,0.127,0.187,0.906,4.39,20.1,3.56e-05,0.00253,1,"gtl1-WT","RTNLB6",NA,NA,"Up","Elongation_Atrichoblast_Up"
"519","AT3G61640","Elongation_Atrichoblast",89.9,61.5,138,100,0.399,0.354,0.471,0.346,0.38,0.415,0.662,6.62,15.5,0.000225,0.0103,1,"gtl1-WT","AGP20",NA,NA,"Up","Elongation_Atrichoblast_Up"
"520","AT3G62010","Elongation_Atrichoblast",54.1,65.8,91.4,95.2,0.343,0.424,0.435,0.374,0.377,0.407,0.645,6.27,14.1,0.000415,0.0167,1,"gtl1-WT","AT3G62010",NA,NA,"Up","Elongation_Atrichoblast_Up"
"521","AT2G01150","Elongation_Atrichoblast",20,23.9,11.4,11.3,0.119,0.141,0.0863,0.0645,0.129,0.0765,-0.938,4.07,20.5,3.07e-05,0.00228,1,"gtl1-WT","RHA2B","RHA2B","RING-H2 finger protein 2B","Down","Elongation_Atrichoblast_Down"
"522","AT2G01850","Elongation_Atrichoblast",43.8,37.9,17.8,19,0.255,0.252,0.108,0.104,0.253,0.106,-1.16,4.89,36.9,1.09e-07,2.27e-05,0.057,"gtl1-WT","XTH27",NA,NA,"Down","Elongation_Atrichoblast_Down"
"523","AT2G02130","Elongation_Atrichoblast",127,20.1,131,136,0.236,0.0938,0.195,0.189,0.176,0.193,1.27,6.7,23.6,9.78e-06,0.000925,1,"gtl1-WT","PDF2.3",NA,NA,"Up","Elongation_Atrichoblast_Up"
"524","AT2G02710","Elongation_Atrichoblast",98.5,176,69.8,78.5,0.385,0.471,0.305,0.275,0.422,0.292,-0.832,6.73,23,1.22e-05,0.0011,1,"gtl1-WT","TLP1",NA,NA,"Down","Elongation_Atrichoblast_Down"
"525","AT2G02990","Elongation_Atrichoblast",34.2,25.9,15.6,17.5,0.142,0.109,0.0885,0.0882,0.128,0.0883,-0.864,4.55,19.1,5.27e-05,0.00344,1,"gtl1-WT","RNS1",NA,NA,"Down","Elongation_Atrichoblast_Down"
"526","AT2G03240","Elongation_Atrichoblast",16.3,13.5,4.06,4.5,0.119,0.126,0.0399,0.025,0.122,0.0332,-1.81,3.27,51,1.88e-09,6.57e-07,0.00099,"gtl1-WT","PHO1-H5",NA,NA,"Down","Elongation_Atrichoblast_Down"
"527","AT2G03760","Elongation_Atrichoblast",64.2,53.8,98.4,109,0.318,0.279,0.417,0.374,0.301,0.398,0.817,6.36,22.2,1.63e-05,0.00136,1,"gtl1-WT","SOT12",NA,NA,"Up","Elongation_Atrichoblast_Up"
"528","AT2G05790","Elongation_Atrichoblast",6.72,7.01,16.1,19.7,0.0503,0.0725,0.126,0.126,0.0597,0.126,1.37,3.68,35.8,1.56e-07,3.16e-05,0.0819,"gtl1-WT","AT2G05790",NA,NA,"Up","Elongation_Atrichoblast_Up"
"529","AT2G06850","Elongation_Atrichoblast",352,449,236,245,0.802,0.846,0.683,0.622,0.821,0.656,-0.724,8.32,20.4,3.22e-05,0.00236,1,"gtl1-WT","XTH4",NA,NA,"Down","Elongation_Atrichoblast_Down"
"530","AT2G13960","Elongation_Atrichoblast",29.4,34.2,20.2,19.2,0.179,0.19,0.14,0.116,0.184,0.129,-0.684,4.69,12.9,7e-04,0.0251,1,"gtl1-WT","AT2G13960","AT2G13960","Homeodomain-like superfamily protein","Down","Elongation_Atrichoblast_Down"
"531","AT2G15960","Elongation_Atrichoblast",342,412,239,214,0.566,0.606,0.53,0.442,0.583,0.49,-0.73,8.24,20.3,3.3e-05,0.0024,1,"gtl1-WT","AT2G15960",NA,NA,"Down","Elongation_Atrichoblast_Down"
"532","AT2G16005","Elongation_Atrichoblast",109,346,610,466,0.0692,0.0789,0.138,0.105,0.0733,0.123,1.44,8.58,42.1,2.28e-08,6.17e-06,0.012,"gtl1-WT","ROSY1",NA,NA,"Up","Elongation_Atrichoblast_Up"
"533","AT2G16430","Elongation_Atrichoblast",22.2,33.6,16,18.5,0.171,0.279,0.128,0.121,0.217,0.125,-0.667,4.5,11.7,0.00118,0.0366,1,"gtl1-WT","PAP10",NA,NA,"Down","Elongation_Atrichoblast_Down"
"534","AT2G16970","Elongation_Atrichoblast",8.48,13.3,18.4,21.2,0.0739,0.13,0.14,0.126,0.0977,0.134,0.888,3.98,17.2,0.000112,0.00608,1,"gtl1-WT","MEE15",NA,NA,"Up","Elongation_Atrichoblast_Up"
"535","AT2G17120","Elongation_Atrichoblast",133,191,104,108,0.648,0.783,0.546,0.508,0.705,0.529,-0.586,7.07,12.4,0.000858,0.0294,1,"gtl1-WT","LYM2",NA,NA,"Down","Elongation_Atrichoblast_Down"
"536","AT2G17450","Elongation_Atrichoblast",528,757,388,437,0.684,0.697,0.59,0.567,0.69,0.58,-0.62,9.04,15,0.00028,0.0123,1,"gtl1-WT","ATL44",NA,NA,"Down","Elongation_Atrichoblast_Down"
"537","AT2G17880","Elongation_Atrichoblast",26.7,24.5,15.6,14.5,0.164,0.145,0.11,0.0934,0.156,0.103,-0.766,4.36,15.2,0.000263,0.0117,1,"gtl1-WT","AT2G17880",NA,NA,"Down","Elongation_Atrichoblast_Down"
"538","AT2G18210","Elongation_Atrichoblast",358,306,204,166,0.577,0.522,0.524,0.447,0.554,0.49,-0.845,8.02,28,2.01e-06,0.000256,1,"gtl1-WT","AT2G18210",NA,NA,"Down","Elongation_Atrichoblast_Down"
"539","AT2G18670","Elongation_Atrichoblast",12,24.5,10.7,9.5,0.0928,0.166,0.0874,0.0658,0.124,0.0777,-0.757,3.84,10.8,0.00174,0.0487,1,"gtl1-WT","ATL56","AT2G18670","RING/U-box superfamily protein","Down","Elongation_Atrichoblast_Down"
"540","AT2G18700","Elongation_Atrichoblast",67.7,71.2,42.2,50.2,0.329,0.339,0.237,0.221,0.333,0.23,-0.594,5.86,11.5,0.00126,0.0384,1,"gtl1-WT","TPS11",NA,NA,"Down","Elongation_Atrichoblast_Down"
"541","AT2G18915","Elongation_Atrichoblast",12,14.9,8,7.5,0.0975,0.136,0.0658,0.0487,0.114,0.0581,-0.778,3.43,11.1,0.00152,0.0441,1,"gtl1-WT","ADO2",NA,NA,"Down","Elongation_Atrichoblast_Down"
"542","AT2G18980","Elongation_Atrichoblast",258,314,420,453,0.69,0.712,0.731,0.728,0.7,0.73,0.615,8.5,15,0.000281,0.0123,1,"gtl1-WT","PER16",NA,NA,"Up","Elongation_Atrichoblast_Up"
"543","AT2G19050","Elongation_Atrichoblast",14.9,20.1,31.5,32.3,0.118,0.171,0.243,0.195,0.14,0.221,0.881,4.65,20.4,3.2e-05,0.00235,1,"gtl1-WT","AT2G19050",NA,NA,"Up","Elongation_Atrichoblast_Up"
"544","AT2G19800","Elongation_Atrichoblast",72.2,78.2,121,108,0.387,0.384,0.479,0.418,0.386,0.452,0.612,6.58,13.1,0.000636,0.0233,1,"gtl1-WT","MIOX2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"545","AT2G20750","Elongation_Atrichoblast",116,140,195,206,0.481,0.539,0.599,0.578,0.506,0.589,0.656,7.36,16.3,0.000162,0.00814,1,"gtl1-WT","EXPB1",NA,NA,"Up","Elongation_Atrichoblast_Up"
"546","AT2G20830","Elongation_Atrichoblast",32.3,27.9,47.1,46.8,0.255,0.224,0.321,0.268,0.242,0.298,0.644,5.29,12.4,0.000859,0.0294,1,"gtl1-WT","AT2G20830",NA,NA,"Up","Elongation_Atrichoblast_Up"
"547","AT2G20880","Elongation_Atrichoblast",148,166,88.7,70.4,0.338,0.426,0.34,0.251,0.376,0.3,-0.987,6.89,33.9,2.85e-07,5.01e-05,0.149,"gtl1-WT","ERF053","ERF53","Integrase-type DNA-binding superfamily protein","Down","Elongation_Atrichoblast_Down"
"548","AT2G21540","Elongation_Atrichoblast",25.3,29.9,12.2,9.17,0.184,0.245,0.1,0.0697,0.21,0.0865,-1.35,4.26,42.4,2.1e-08,5.9e-06,0.011,"gtl1-WT","SFH3",NA,NA,"Down","Elongation_Atrichoblast_Down"
"549","AT2G22430","Elongation_Atrichoblast",121,139,87.3,83,0.442,0.507,0.438,0.354,0.47,0.4,-0.606,6.75,13.1,0.000619,0.0228,1,"gtl1-WT","ATHB-6","HB6","homeobox protein 6","Down","Elongation_Atrichoblast_Down"
"550","AT2G22870","Elongation_Atrichoblast",70.2,59.9,48.4,36.5,0.258,0.249,0.231,0.175,0.254,0.206,-0.623,5.75,12.5,0.000829,0.0288,1,"gtl1-WT","EMB2001",NA,NA,"Down","Elongation_Atrichoblast_Down"
"551","AT2G23320","Elongation_Atrichoblast",26.7,28.6,14.3,13,0.179,0.177,0.106,0.0842,0.178,0.096,-1.01,4.37,26.2,3.75e-06,0.000423,1,"gtl1-WT","WRKY15","WRKY15","WRKY DNA-binding protein 15","Down","Elongation_Atrichoblast_Down"
"552","AT2G23810","Elongation_Atrichoblast",538,864,437,468,0.624,0.701,0.625,0.609,0.657,0.618,-0.592,9.17,13.1,0.000637,0.0233,1,"gtl1-WT","TET8",NA,NA,"Down","Elongation_Atrichoblast_Down"
"553","AT2G24170","Elongation_Atrichoblast",14.6,17.6,26,32.8,0.124,0.158,0.206,0.2,0.138,0.203,0.866,4.53,19.7,4.26e-05,0.00292,1,"gtl1-WT","TMN10",NA,NA,"Up","Elongation_Atrichoblast_Up"
"554","AT2G24180","Elongation_Atrichoblast",11,14.4,16.2,26.2,0.0849,0.136,0.123,0.151,0.107,0.136,0.712,4.11,11.8,0.0011,0.035,1,"gtl1-WT","CYP71B6",NA,NA,"Up","Elongation_Atrichoblast_Up"
"555","AT2G24400","Elongation_Atrichoblast",22.2,24.6,15.1,12.8,0.137,0.158,0.0949,0.0763,0.146,0.0865,-0.737,4.24,13.4,0.000563,0.0211,1,"gtl1-WT","AT2G24400",NA,NA,"Down","Elongation_Atrichoblast_Down"
"556","AT2G25080","Elongation_Atrichoblast",26.1,25.2,16.4,14.2,0.192,0.2,0.128,0.0921,0.195,0.112,-0.742,4.37,14.2,0.000392,0.016,1,"gtl1-WT","GPX1",NA,NA,"Down","Elongation_Atrichoblast_Down"
"557","AT2G25210","Elongation_Atrichoblast",48.3,31.3,63.5,65.5,0.272,0.273,0.371,0.38,0.272,0.375,0.717,5.72,15.3,0.000249,0.0112,1,"gtl1-WT","AT2G25210",NA,NA,"Up","Elongation_Atrichoblast_Up"
"558","AT2G26150","Elongation_Atrichoblast",15.2,21.2,15.5,5.33,0.0943,0.124,0.0863,0.0316,0.107,0.0616,-0.846,3.87,11,0.00157,0.0454,1,"gtl1-WT","HSFA2","HSFA2","heat shock transcription factor A2","Down","Elongation_Atrichoblast_Down"
"559","AT2G26290","Elongation_Atrichoblast",77.9,110,59.4,56,0.366,0.412,0.333,0.257,0.386,0.299,-0.682,6.25,15,0.000285,0.0124,1,"gtl1-WT","PBL12",NA,NA,"Down","Elongation_Atrichoblast_Down"
"560","AT2G26530","Elongation_Atrichoblast",149,121,76.2,63.7,0.401,0.348,0.366,0.312,0.378,0.341,-0.946,6.68,31.8,5.6e-07,9.36e-05,0.293,"gtl1-WT","AR781",NA,NA,"Down","Elongation_Atrichoblast_Down"
"561","AT2G26690","Elongation_Atrichoblast",28,38.1,15.7,13.2,0.19,0.26,0.113,0.0829,0.22,0.0996,-1.17,4.57,34,2.72e-07,4.88e-05,0.143,"gtl1-WT","NPF6.2",NA,NA,"Down","Elongation_Atrichoblast_Down"
"562","AT2G27430","Elongation_Atrichoblast",72.6,85.2,51,50.3,0.303,0.394,0.234,0.2,0.342,0.219,-0.633,6.02,13.2,0.000592,0.022,1,"gtl1-WT","AT2G27430",NA,NA,"Down","Elongation_Atrichoblast_Down"
"563","AT2G27810","Elongation_Atrichoblast",27.4,49.1,19.1,18,0.138,0.239,0.122,0.0987,0.181,0.111,-0.978,4.83,23.8,8.92e-06,0.000868,1,"gtl1-WT","ATNAT12",NA,NA,"Down","Elongation_Atrichoblast_Down"
"564","AT2G27830","Elongation_Atrichoblast",224,257,143,142,0.47,0.559,0.439,0.416,0.508,0.429,-0.752,7.58,21.7,1.99e-05,0.00161,1,"gtl1-WT","AT2G27830",NA,NA,"Down","Elongation_Atrichoblast_Down"
"565","AT2G27920","Elongation_Atrichoblast",10.2,13.3,5.7,5.67,0.0896,0.136,0.0518,0.0421,0.11,0.0474,-1.03,3.15,16.6,0.000142,0.00735,1,"gtl1-WT","SCPL51",NA,NA,"Down","Elongation_Atrichoblast_Down"
"566","AT2G29470","Elongation_Atrichoblast",19.8,20.9,10.5,14.5,0.137,0.145,0.0701,0.0855,0.14,0.0771,-0.721,4.05,12.1,0.000978,0.0323,1,"gtl1-WT","GSTU3",NA,NA,"Down","Elongation_Atrichoblast_Down"
"567","AT2G29500","Elongation_Atrichoblast",48.6,60.1,46.6,14.7,0.248,0.188,0.218,0.0934,0.223,0.162,-0.962,5.42,17.5,9.93e-05,0.0055,1,"gtl1-WT","HSP17.6B",NA,NA,"Down","Elongation_Atrichoblast_Down"
"568","AT2G29790","Elongation_Atrichoblast",11,14.6,0,10.7,0.102,0.151,0,0.0816,0.123,0.0368,-1.86,3.15,21.3,2.27e-05,0.00177,1,"gtl1-WT","AT2G29790",NA,NA,"Down","Elongation_Atrichoblast_Down"
"569","AT2G30140","Elongation_Atrichoblast",21.1,21.4,11,12.8,0.129,0.147,0.0895,0.0882,0.137,0.0889,-0.844,4.06,16.7,0.000137,0.00713,1,"gtl1-WT","UGT87A2",NA,NA,"Down","Elongation_Atrichoblast_Down"
"570","AT2G30620","Elongation_Atrichoblast",92.6,92.8,165,144,0.445,0.458,0.586,0.509,0.451,0.551,0.737,6.96,19.8,4.01e-05,0.0028,1,"gtl1-WT","AT2G30620",NA,NA,"Up","Elongation_Atrichoblast_Up"
"571","AT2G32020","Elongation_Atrichoblast",12,7.55,27.7,20.3,0.0881,0.0704,0.188,0.126,0.0805,0.16,1.31,4.13,38,7.75e-08,1.72e-05,0.0407,"gtl1-WT","AT2G32020","AT2G32020","Acyl-CoA N-acyltransferases (NAT) superfamily protein","Up","Elongation_Atrichoblast_Up"
"572","AT2G32560","Elongation_Atrichoblast",9.44,11.3,15.7,18.8,0.0755,0.122,0.127,0.121,0.095,0.124,0.732,3.83,11.5,0.00128,0.0387,1,"gtl1-WT","AT2G32560",NA,NA,"Up","Elongation_Atrichoblast_Up"
"573","AT2G33590","Elongation_Atrichoblast",52.5,41.9,31.5,27.2,0.33,0.316,0.232,0.172,0.324,0.205,-0.683,5.27,14.1,0.000417,0.0168,1,"gtl1-WT","AT2G33590",NA,NA,"Down","Elongation_Atrichoblast_Down"
"574","AT2G33790","Elongation_Atrichoblast",29.8,62.6,23.1,24.2,0.176,0.203,0.131,0.113,0.187,0.123,-0.87,5.13,19.2,5.04e-05,0.00333,1,"gtl1-WT","AGP30",NA,NA,"Down","Elongation_Atrichoblast_Down"
"575","AT2G33830","Elongation_Atrichoblast",7.2,4.68,33.9,30.8,0.044,0.0448,0.172,0.166,0.0443,0.169,2.45,4.31,121,1.16e-15,2.6e-12,6.09e-10,"gtl1-WT","DRMH1",NA,NA,"Up","Elongation_Atrichoblast_Up"
"576","AT2G33990","Elongation_Atrichoblast",12.8,11.5,19.3,19.8,0.0991,0.126,0.15,0.133,0.11,0.142,0.684,4.03,10.7,0.0018,0.0497,1,"gtl1-WT","iqd9",NA,NA,"Up","Elongation_Atrichoblast_Up"
"577","AT2G34500","Elongation_Atrichoblast",572,993,380,456,0.726,0.827,0.646,0.653,0.769,0.649,-0.856,9.23,27.5,2.43e-06,0.000303,1,"gtl1-WT","CYP710A1",NA,NA,"Down","Elongation_Atrichoblast_Down"
"578","AT2G34630","Elongation_Atrichoblast",73.8,72.5,47.9,44.7,0.42,0.433,0.312,0.259,0.425,0.288,-0.659,5.9,14.3,0.000379,0.0157,1,"gtl1-WT","SPS3",NA,NA,"Down","Elongation_Atrichoblast_Down"
"579","AT2G34810","Elongation_Atrichoblast",126,265,89.8,160,0.39,0.522,0.301,0.33,0.446,0.314,-0.608,7.32,13.9,0.000445,0.0176,1,"gtl1-WT","AT2G34810",NA,NA,"Down","Elongation_Atrichoblast_Down"
"580","AT2G34880","Elongation_Atrichoblast",0,79.1,59,83.2,0,0.49,0.382,0.409,0.208,0.394,1.91,5.8,18.9,5.77e-05,0.00367,1,"gtl1-WT","JMJ15","MEE27","Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein","Up","Elongation_Atrichoblast_Up"
"581","AT2G34910","Elongation_Atrichoblast",13.9,15.1,23.2,22.5,0.118,0.175,0.192,0.159,0.142,0.177,0.659,4.26,10.8,0.00178,0.0494,1,"gtl1-WT","AT2G34910",NA,NA,"Up","Elongation_Atrichoblast_Up"
"582","AT2G35700","Elongation_Atrichoblast",17.3,16.9,9.21,8.84,0.118,0.13,0.0669,0.0539,0.123,0.0611,-0.92,3.72,17.7,9.45e-05,0.00542,1,"gtl1-WT","ERF038","ERF38","ERF family protein 38","Down","Elongation_Atrichoblast_Down"
"583","AT2G35730","Elongation_Atrichoblast",4.48,4.32,15.6,12.3,0.0346,0.0469,0.123,0.0842,0.0398,0.106,1.66,3.29,41.9,2.41e-08,6.43e-06,0.0127,"gtl1-WT","AT2G35730",NA,NA,"Up","Elongation_Atrichoblast_Up"
"584","AT2G36630","Elongation_Atrichoblast",11.8,25.7,8.22,11.3,0.0896,0.186,0.0604,0.0645,0.13,0.0622,-0.866,3.84,15.4,0.000233,0.0106,1,"gtl1-WT","AT2G36630",NA,NA,"Down","Elongation_Atrichoblast_Down"
"585","AT2G37470","Elongation_Atrichoblast",169,200,98.8,85.4,0.385,0.435,0.324,0.289,0.406,0.308,-0.998,7.11,35.7,1.62e-07,3.25e-05,0.0851,"gtl1-WT","AT2G37470",NA,NA,"Down","Elongation_Atrichoblast_Down"
"586","AT2G37970","Elongation_Atrichoblast",32.6,22.3,45.8,51.5,0.237,0.194,0.301,0.274,0.219,0.289,0.833,5.27,19.2,5.14e-05,0.00337,1,"gtl1-WT","SOUL-1",NA,NA,"Up","Elongation_Atrichoblast_Up"
"587","AT2G38290","Elongation_Atrichoblast",10.9,11.1,21.6,26,0.0943,0.122,0.169,0.179,0.106,0.174,1.1,4.16,28.2,1.91e-06,0.000245,1,"gtl1-WT","AMT2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"588","AT2G38400","Elongation_Atrichoblast",27.5,28.2,45.4,41.3,0.148,0.183,0.238,0.207,0.163,0.224,0.638,5.17,12,0.00101,0.0332,1,"gtl1-WT","AGT3",NA,NA,"Up","Elongation_Atrichoblast_Up"
"589","AT2G38500","Elongation_Atrichoblast",19,20.5,12.3,10.3,0.164,0.186,0.111,0.0737,0.173,0.0943,-0.799,3.97,14.4,0.000355,0.0149,1,"gtl1-WT","AT2G38500",NA,NA,"Down","Elongation_Atrichoblast_Down"
"590","AT2G39010","Elongation_Atrichoblast",140,158,36.6,36.8,0.542,0.58,0.22,0.175,0.558,0.2,-2.02,6.54,132,1.9e-16,5.49e-13,1e-10,"gtl1-WT","PIP2-6",NA,NA,"Down","Elongation_Atrichoblast_Down"
"591","AT2G39530","Elongation_Atrichoblast",1370,1990,3030,2970,0.958,0.972,0.983,0.984,0.964,0.983,0.863,11.2,26.5,3.43e-06,0.000403,1,"gtl1-WT","AT2G39530",NA,NA,"Up","Elongation_Atrichoblast_Up"
"592","AT2G39705","Elongation_Atrichoblast",54.2,45.3,30.8,30.3,0.247,0.23,0.17,0.157,0.24,0.164,-0.701,5.33,14.9,0.000297,0.0129,1,"gtl1-WT","RTFL8",NA,NA,"Down","Elongation_Atrichoblast_Down"
"593","AT2G40250","Elongation_Atrichoblast",38.9,51.8,23.8,25.5,0.288,0.386,0.165,0.157,0.329,0.161,-0.862,5.13,21.6,2.01e-05,0.00162,1,"gtl1-WT","AT2G40250",NA,NA,"Down","Elongation_Atrichoblast_Down"
"594","AT2G40750","Elongation_Atrichoblast",15.4,14.2,7.78,4,0.116,0.111,0.069,0.0316,0.114,0.0522,-1.33,3.39,29.5,1.19e-06,0.000173,0.625,"gtl1-WT","WRKY54","WRKY54","WRKY DNA-binding protein 54","Down","Elongation_Atrichoblast_Down"
"595","AT2G40890","Elongation_Atrichoblast",54.4,66.4,108,112,0.294,0.358,0.44,0.399,0.321,0.421,0.878,6.42,26.3,3.7e-06,0.000423,1,"gtl1-WT","CYP98A3",NA,NA,"Up","Elongation_Atrichoblast_Up"
"596","AT2G42850","Elongation_Atrichoblast",20.2,35.8,52.7,61,0.168,0.292,0.323,0.322,0.221,0.322,1.07,5.42,32.5,4.46e-07,7.57e-05,0.233,"gtl1-WT","CYP718",NA,NA,"Up","Elongation_Atrichoblast_Up"
"597","AT2G43590","Elongation_Atrichoblast",510,637,979,1010,0.759,0.808,0.844,0.843,0.78,0.844,0.801,9.61,25.1,5.71e-06,0.000618,1,"gtl1-WT","AT2G43590",NA,NA,"Up","Elongation_Atrichoblast_Up"
"598","AT2G43880","Elongation_Atrichoblast",42.1,61.9,31,30.7,0.226,0.267,0.186,0.145,0.243,0.167,-0.722,5.37,15.2,0.000255,0.0114,1,"gtl1-WT","AT2G43880",NA,NA,"Down","Elongation_Atrichoblast_Down"
"599","AT2G43890","Elongation_Atrichoblast",90.7,145,61.6,78.9,0.226,0.26,0.157,0.191,0.241,0.172,-0.72,6.56,18,8.22e-05,0.00486,1,"gtl1-WT","AT2G43890",NA,NA,"Down","Elongation_Atrichoblast_Down"
"600","AT2G44080","Elongation_Atrichoblast",9.6,7.01,16.2,16.7,0.0723,0.064,0.122,0.108,0.0688,0.116,0.983,3.68,18.8,6.07e-05,0.00381,1,"gtl1-WT","ARL",NA,NA,"Up","Elongation_Atrichoblast_Up"
"601","AT2G45180","Elongation_Atrichoblast",20.2,16.2,31.1,32.8,0.115,0.0959,0.177,0.129,0.107,0.155,0.815,4.67,17.6,9.6e-05,0.00542,1,"gtl1-WT","AT2G45180",NA,NA,"Up","Elongation_Atrichoblast_Up"
"602","AT2G45290","Elongation_Atrichoblast",22.7,13.3,32.7,36.8,0.153,0.132,0.219,0.199,0.144,0.21,0.964,4.75,22.6,1.42e-05,0.00123,1,"gtl1-WT","TKL-2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"603","AT2G46600","Elongation_Atrichoblast",43.2,19.6,52.4,44.7,0.23,0.173,0.3,0.257,0.205,0.28,0.699,5.34,13.1,0.000638,0.0233,1,"gtl1-WT","KIC",NA,NA,"Up","Elongation_Atrichoblast_Up"
"604","AT2G46930","Elongation_Atrichoblast",17,22.7,9.87,10.5,0.145,0.192,0.0798,0.0711,0.165,0.0759,-0.94,3.91,19.5,4.53e-05,0.00307,1,"gtl1-WT","PAE3",NA,NA,"Down","Elongation_Atrichoblast_Down"
"605","AT2G47010","Elongation_Atrichoblast",8.32,9.89,13.6,17.5,0.077,0.0981,0.115,0.114,0.086,0.115,0.765,3.66,11.8,0.00114,0.0357,1,"gtl1-WT","AT2G47010",NA,NA,"Up","Elongation_Atrichoblast_Up"
"606","AT2G47130","Elongation_Atrichoblast",14.7,16.5,28.5,28.8,0.118,0.149,0.196,0.187,0.131,0.192,0.878,4.5,20,3.72e-05,0.00262,1,"gtl1-WT","SDR3A",NA,NA,"Up","Elongation_Atrichoblast_Up"
"607","AT2G47520","Elongation_Atrichoblast",14.7,9.53,30.8,16.8,0.113,0.0896,0.22,0.103,0.103,0.167,0.957,4.22,21.4,2.21e-05,0.00174,1,"gtl1-WT","ERF071","ERF71","Integrase-type DNA-binding superfamily protein","Up","Elongation_Atrichoblast_Up"
"608","AT2G47540","Elongation_Atrichoblast",13,15.1,26.4,30.3,0.0928,0.134,0.172,0.164,0.11,0.168,1.02,4.44,26.3,3.73e-06,0.000423,1,"gtl1-WT","AT2G47540",NA,NA,"Up","Elongation_Atrichoblast_Up"
"609","AT2G47890","Elongation_Atrichoblast",94.5,117,64.5,57.8,0.377,0.386,0.3,0.239,0.381,0.273,-0.781,6.39,20.4,3.28e-05,0.0024,1,"gtl1-WT","COL13","AT2G47890","B-box type zinc finger protein with CCT domain-containing protein","Down","Elongation_Atrichoblast_Down"
"610","AT4G00460","Elongation_Atrichoblast",6.88,10.3,19.2,22.7,0.0645,0.0981,0.14,0.132,0.0787,0.136,1.31,3.93,35.6,1.64e-07,3.25e-05,0.0859,"gtl1-WT","ROPGEF3",NA,NA,"Up","Elongation_Atrichoblast_Up"
"611","AT4G01630","Elongation_Atrichoblast",2250,3680,1560,1740,0.981,0.977,0.926,0.903,0.979,0.915,-0.806,11.2,23.2,1.11e-05,0.00102,1,"gtl1-WT","EXPA17",NA,NA,"Down","Elongation_Atrichoblast_Down"
