"","gene","cluster_id","sc_2.cpm","sc_43.cpm","sc_50.cpm","sc_5.cpm","sc_46.cpm","sc_49.cpm","sc_2.frq","sc_43.frq","sc_50.frq","sc_5.frq","sc_46.frq","sc_49.frq","BRZ.frq","BL.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"644","AT5G04370","all",0.504,0.573,0.774,0.0491,0.138,0.251,0.00359,0.00428,0.00629,0.000511,0.000876,0.00142,0.00452,0.000853,-2.17,-1.33,29.1,0.000597,0.00931,1,"BL-BRZ","NAMT1",NA,NA,"Down","all_Down"
"645","AT5G04960","all",72.2,58.6,71.6,45.2,35,42,0.0813,0.0516,0.0521,0.0791,0.0353,0.0397,0.0621,0.0557,-0.73,5.76,37.8,0.000247,0.00543,1,"BL-BRZ","PME46",NA,NA,"Down","all_Down"
"646","AT5G04970","all",48.6,41.2,54,115,75.6,102,0.274,0.173,0.233,0.411,0.266,0.288,0.223,0.335,1.02,6.19,40.4,0.000195,0.00475,1,"BL-BRZ","PME47",NA,NA,"Up","all_Up"
"647","AT5G05070","all",1.19,1.78,1.73,2.57,2.87,2.97,0.0153,0.0217,0.0242,0.0243,0.0377,0.0401,0.0201,0.0324,0.853,1.14,29.5,0.000569,0.00908,1,"BL-BRZ","PAT03",NA,NA,"Up","all_Up"
"648","AT5G05180","all",5.42,6.17,5.77,9.68,12.4,10.4,0.0377,0.0444,0.045,0.0549,0.0764,0.0748,0.0422,0.0665,0.901,3.06,53,7.47e-05,0.00271,1,"BL-BRZ","AT5G05180",NA,NA,"Up","all_Up"
"649","AT5G05220","all",54.7,44.2,60,29.5,28.6,24.4,0.156,0.132,0.143,0.101,0.105,0.0896,0.143,0.0993,-0.945,5.33,50.3,9.01e-05,0.00302,1,"BL-BRZ","AT5G05220",NA,NA,"Down","all_Down"
"650","AT5G05330","all",1.78,2.12,2.11,0.688,1.25,1.48,0.0177,0.0188,0.0179,0.00664,0.0131,0.0119,0.0182,0.00997,-0.863,0.67,17.7,0.00281,0.025,1,"BL-BRZ","AT5G05330","AT5G05330","HMG-box (high mobility group) DNA-binding family protein","Down","all_Down"
"651","AT5G05400","all",17.4,12.8,12.8,10.2,8.16,9.3,0.113,0.0883,0.106,0.0699,0.0729,0.0741,0.101,0.0719,-0.622,3.56,30,0.000536,0.00873,1,"BL-BRZ","AT5G05400",NA,NA,"Down","all_Down"
"652","AT5G05435","all",1.06,1.32,1.29,2.01,2.66,2.46,0.0125,0.0159,0.0187,0.0184,0.0351,0.0325,0.0154,0.0271,0.955,0.862,38.2,0.000238,0.00533,1,"BL-BRZ","AT5G05435",NA,NA,"Up","all_Up"
"653","AT5G05460","all",30.7,32.5,25.9,18.3,15.9,17.2,0.254,0.225,0.222,0.151,0.161,0.17,0.234,0.159,-0.796,4.55,49.9,9.26e-05,0.00306,1,"BL-BRZ","ENGASE1",NA,NA,"Down","all_Down"
"654","AT5G05690","all",22.6,31.6,33.9,14.5,15.4,21.4,0.0853,0.133,0.148,0.0667,0.0965,0.105,0.12,0.0856,-0.769,4.54,32.8,0.000399,0.00725,1,"BL-BRZ","CYP90A1",NA,NA,"Down","all_Down"
"655","AT5G05840","all",3.12,2.59,3.7,1.92,1.66,2.07,0.0249,0.0207,0.0291,0.0155,0.0158,0.0174,0.0242,0.0161,-0.735,1.34,15.6,0.00399,0.0314,1,"BL-BRZ","AT5G05840",NA,NA,"Down","all_Down"
"656","AT5G05850","all",15.2,17.2,16.3,8.32,6.96,7.47,0.152,0.141,0.17,0.0763,0.0824,0.0889,0.152,0.0813,-1.1,3.57,84.3,1.34e-05,0.000987,0.313,"BL-BRZ","PIRL1",NA,NA,"Down","all_Down"
"657","AT5G05870","all",4.75,5.18,5.66,3.9,2.77,3.16,0.0543,0.0588,0.0775,0.0364,0.0396,0.0451,0.0617,0.0396,-0.674,2.09,16.8,0.00326,0.0275,1,"BL-BRZ","UGT76C1",NA,NA,"Down","all_Down"
"658","AT5G05880","all",42.6,51.4,46.4,12.7,13,11.4,0.286,0.276,0.284,0.108,0.123,0.116,0.281,0.115,-1.92,4.89,305,8.72e-08,8.93e-05,0.00206,"BL-BRZ","UGT76C4",NA,NA,"Down","all_Down"
"659","AT5G06390","all",13.8,22,20.5,25,27.8,35.5,0.14,0.196,0.215,0.196,0.273,0.306,0.181,0.248,0.667,4.59,29.1,0.000591,0.00928,1,"BL-BRZ","FLA17",NA,NA,"Up","all_Up"
"660","AT5G06630","all",64.4,63,99.3,41.9,50.3,52.2,0.0736,0.0494,0.0501,0.0721,0.0372,0.0367,0.058,0.0524,-0.648,5.95,16.5,0.0034,0.0282,1,"BL-BRZ","AT5G06630",NA,NA,"Down","all_Down"
"661","AT5G06640","all",104,87.2,131,59.3,51.1,52.6,0.103,0.0542,0.0533,0.102,0.0362,0.0346,0.0712,0.0646,-0.987,6.34,40,0.000202,0.00486,1,"BL-BRZ","AT5G06640",NA,NA,"Down","all_Down"
"662","AT5G06700","all",59.3,50.2,41.5,111,80.1,77.4,0.337,0.29,0.301,0.459,0.446,0.42,0.309,0.445,0.821,6.13,58.1,5.32e-05,0.0022,1,"BL-BRZ","TBR",NA,NA,"Up","all_Up"
"663","AT5G06710","all",1.38,3.17,3.01,4.61,6.31,8.17,0.0101,0.0146,0.0167,0.0181,0.0311,0.0298,0.0136,0.0251,1.39,2.16,66,3.35e-05,0.00166,0.777,"BL-BRZ","HAT14","HAT14","homeobox leucine zipper protein","Up","all_Up"
"664","AT5G06740","all",8.8,6.45,6.76,10.6,11.2,13.2,0.0615,0.0521,0.0598,0.0685,0.096,0.103,0.0572,0.0857,0.68,3.25,19.2,0.00219,0.0212,1,"BL-BRZ","AT5G06740",NA,NA,"Up","all_Up"
"665","AT5G06760","all",189,166,200,55.1,41.4,40.3,0.384,0.285,0.293,0.235,0.117,0.102,0.321,0.165,-2.04,6.85,247,2.01e-07,0.000111,0.00475,"BL-BRZ","LEA46",NA,NA,"Down","all_Down"
"666","AT5G06850","all",4.58,4.94,4.97,7.57,6.05,8.7,0.0196,0.0332,0.0385,0.0294,0.0479,0.0619,0.0297,0.0433,0.624,2.62,15.4,0.00417,0.0323,1,"BL-BRZ","FTIP1",NA,NA,"Up","all_Up"
"667","AT5G06865","all",1.96,2.99,2.75,1.2,1.39,1.43,0.0232,0.0334,0.0393,0.0116,0.0187,0.0202,0.0312,0.016,-0.924,0.982,33.3,0.000378,0.00701,1,"BL-BRZ","AT5G06865",NA,NA,"Down","all_Down"
"668","AT5G06860","all",1.86,1.29,1.66,1.22,0.635,0.775,0.0236,0.0159,0.0248,0.0123,0.00979,0.0119,0.0207,0.0114,-0.905,0.331,18.6,0.0024,0.0224,1,"BL-BRZ","PGIP1",NA,NA,"Down","all_Down"
"669","AT5G06930","all",9.72,4.23,5.82,13.2,8.52,9.64,0.0793,0.0417,0.0627,0.0984,0.0916,0.0949,0.0598,0.0954,0.714,3.09,19.3,0.00217,0.0211,1,"BL-BRZ","AT5G06930",NA,NA,"Up","all_Up"
"670","AT5G06990","all",20.1,13.8,14.6,8.16,5.1,8.11,0.0837,0.0609,0.0719,0.0412,0.0345,0.0325,0.0715,0.0369,-1.17,3.54,46,0.000123,0.00358,1,"BL-BRZ","AT5G06990",NA,NA,"Down","all_Down"
"671","AT5G07000","all",2.99,3.15,4.71,6.17,5.56,5.49,0.0268,0.0269,0.0383,0.0388,0.0457,0.0502,0.0296,0.0438,0.677,2.23,12.4,0.00745,0.0474,1,"BL-BRZ","SOT14",NA,NA,"Up","all_Up"
"672","AT5G07010","all",57.6,60.5,74.9,87.5,116,96,0.282,0.21,0.217,0.314,0.273,0.255,0.237,0.286,0.632,6.36,26.5,0.000809,0.0114,1,"BL-BRZ","SOT15",NA,NA,"Up","all_Up"
"673","AT5G07030","all",42,31.9,31.3,57.9,52.3,49,0.109,0.122,0.119,0.128,0.161,0.159,0.117,0.146,0.61,5.46,40.6,0.000192,0.00472,1,"BL-BRZ","AT5G07030",NA,NA,"Up","all_Up"
"674","AT5G07080","all",12.7,11.5,10.6,10.3,5.61,6.59,0.0559,0.0414,0.0448,0.0527,0.0356,0.0349,0.0473,0.043,-0.672,3.26,20,0.00194,0.0197,1,"BL-BRZ","AT5G07080",NA,NA,"Down","all_Down"
"675","AT5G07110","all",85.8,79.8,88.6,151,204,197,0.38,0.327,0.377,0.47,0.539,0.535,0.357,0.507,1.1,7.07,80.5,1.59e-05,0.00108,0.372,"BL-BRZ","PRA1B6",NA,NA,"Up","all_Up"
"676","AT5G07165","all",1.2,4.82,2.96,1.83,6.75,6.27,0.00945,0.024,0.0183,0.0136,0.0381,0.0309,0.0176,0.0255,0.698,2,13,0.00669,0.0442,1,"BL-BRZ","AT5G07165",NA,NA,"Up","all_Up"
"677","AT5G07190","all",20.7,8.44,7.55,13.3,5.82,3.67,0.0686,0.0376,0.0322,0.0589,0.0412,0.0243,0.0472,0.0447,-0.712,3.31,17,0.00316,0.0269,1,"BL-BRZ","ATS3",NA,NA,"Down","all_Down"
"678","AT5G07240","all",2.24,3.15,2.98,3.48,6.03,6.82,0.0205,0.0288,0.0309,0.0255,0.0567,0.0537,0.0264,0.0422,0.927,2.05,38.1,0.000239,0.00534,1,"BL-BRZ","IQD24",NA,NA,"Up","all_Up"
"679","AT5G07322","all",13.4,28.9,27.1,37,46.7,66.4,0.0502,0.105,0.115,0.0975,0.127,0.139,0.0884,0.117,1.16,5.19,55.6,6.25e-05,0.00245,1,"BL-BRZ","AT5G07322",NA,NA,"Up","all_Up"
"680","AT5G07460","all",57.1,86.3,88.3,99.8,158,168,0.275,0.291,0.293,0.416,0.47,0.434,0.286,0.437,0.871,6.78,83.4,1.39e-05,0.000999,0.325,"BL-BRZ","MRSA2",NA,NA,"Up","all_Up"
"681","AT5G07550","all",3.27,1.25,0.716,0.767,0.58,0.535,0.0218,0.0071,0.00668,0.00521,0.00394,0.00443,0.0122,0.00462,-1.28,0.275,15.4,0.00419,0.0324,1,"BL-BRZ","GRP19",NA,NA,"Down","all_Down"
"682","AT5G07770","all",2,2.49,2.62,4.26,3.44,4.99,0.0206,0.0234,0.0315,0.0359,0.0407,0.0514,0.0244,0.0413,0.841,1.73,21.4,0.00158,0.0172,1,"BL-BRZ","AT5G07770",NA,NA,"Up","all_Up"
"683","AT5G07830","all",21.3,13.9,17,32.4,22.9,23.8,0.122,0.0849,0.103,0.141,0.119,0.131,0.102,0.132,0.598,4.45,32.5,0.000412,0.00741,1,"BL-BRZ","AtGUS2",NA,NA,"Up","all_Up"
"684","AT5G07860","all",188,142,113,250,236,203,0.491,0.323,0.282,0.632,0.476,0.408,0.372,0.527,0.655,7.56,22.8,0.0013,0.0152,1,"BL-BRZ","AT5G07860",NA,NA,"Up","all_Up"
"685","AT5G08020","all",2.47,3.84,2.84,4.2,6.84,6.21,0.02,0.0249,0.0222,0.0292,0.0443,0.0397,0.0225,0.0365,0.898,2.14,32.6,0.000408,0.00737,1,"BL-BRZ","RPA1B",NA,NA,"Up","all_Up"
"686","AT5G08050","all",7.36,4.35,4.01,4.26,2.08,1.83,0.0615,0.043,0.0488,0.0344,0.028,0.022,0.0509,0.0293,-0.988,2,47.5,0.00011,0.00336,1,"BL-BRZ","AT5G08050",NA,NA,"Down","all_Down"
"687","AT5G08240","all",31.5,37.6,43.1,17.1,16.5,21.3,0.147,0.143,0.155,0.103,0.087,0.0876,0.147,0.0944,-1.02,4.8,66.9,3.18e-05,0.00162,0.738,"BL-BRZ","AT5G08240",NA,NA,"Down","all_Down"
"688","AT5G08640","all",192,107,98.4,64.9,35.9,31.6,0.364,0.249,0.214,0.229,0.178,0.146,0.281,0.193,-1.59,6.46,238,2.34e-07,0.00012,0.00553,"BL-BRZ","FLS1",NA,NA,"Down","all_Down"
"689","AT5G09290","all",1.7,3.49,3.11,1.04,1.99,1.99,0.019,0.0353,0.0381,0.0101,0.0253,0.0252,0.0303,0.0186,-0.723,1.16,23.8,0.00113,0.0138,1,"BL-BRZ","SAL4",NA,NA,"Down","all_Down"
"690","AT5G09430","all",8.06,4.88,5.38,10.3,9.14,10.2,0.0658,0.0407,0.0517,0.0696,0.0751,0.0796,0.0521,0.0738,0.727,3,23.3,0.00121,0.0145,1,"BL-BRZ","AT5G09430",NA,NA,"Up","all_Up"
"691","AT5G09480","all",1.56,1.73,2.92,0.55,0.515,1.2,0.00666,0.00913,0.0136,0.00266,0.00365,0.00514,0.00931,0.00359,-1.46,0.509,19.3,0.00216,0.0211,1,"BL-BRZ","AT5G09480",NA,NA,"Down","all_Down"
"692","AT5G09960","all",43.4,41.3,49.1,61.6,84,78.9,0.232,0.24,0.299,0.28,0.397,0.361,0.251,0.336,0.736,5.9,38.8,0.000225,0.00524,1,"BL-BRZ","AT5G09960",NA,NA,"Up","all_Up"
"693","AT5G10020","all",21.3,24.4,20.9,37.8,34.7,37.2,0.182,0.192,0.192,0.236,0.288,0.283,0.188,0.264,0.718,4.88,50.6,8.83e-05,0.003,1,"BL-BRZ","AT5G10020",NA,NA,"Up","all_Up"
"694","AT5G10130","all",642,469,571,977,787,899,0.563,0.312,0.317,0.623,0.365,0.343,0.401,0.473,0.667,9.5,30.5,0.000506,0.0084,1,"BL-BRZ","DFC",NA,NA,"Up","all_Up"
"695","AT5G10170","all",1.53,3.11,2.66,4.74,7.75,6.26,0.015,0.0206,0.0191,0.0328,0.0513,0.0504,0.0183,0.0429,1.39,2.12,76.2,1.95e-05,0.00121,0.455,"BL-BRZ","IPS3",NA,NA,"Up","all_Up"
"696","AT5G10430","all",17.4,24.5,28.9,60.6,65.4,68.2,0.129,0.158,0.197,0.261,0.357,0.339,0.157,0.31,1.48,5.47,131,2.48e-06,0.000429,0.0585,"BL-BRZ","AGP4",NA,NA,"Up","all_Up"
"697","AT5G10440","all",0.474,0.71,0.67,0.885,1.85,1.75,0.00626,0.008,0.00845,0.00848,0.0215,0.0211,0.0075,0.0157,1.23,0.105,38,0.000242,0.00538,1,"BL-BRZ","CYCD4-2",NA,NA,"Up","all_Up"
"698","AT5G10510","all",18.2,8.18,7.01,5.18,3.04,3.19,0.176,0.0816,0.0828,0.0458,0.0371,0.0381,0.115,0.0412,-1.47,2.9,93.1,9.2e-06,0.000798,0.215,"BL-BRZ","AIL6","AIL6","AINTEGUMENTA-like 6","Down","all_Down"
"699","AT5G10580","all",0.583,3.11,2.63,2.86,4.61,7.42,0.00319,0.0159,0.0167,0.0118,0.025,0.0287,0.0116,0.0202,1.42,1.83,25,0.000967,0.0126,1,"BL-BRZ","AT5G10580",NA,NA,"Up","all_Up"
"700","AT5G10625","all",92.9,21.4,20.2,41.3,15.5,17,0.342,0.0819,0.0773,0.166,0.0724,0.0639,0.172,0.112,-0.631,5.12,15,0.0045,0.0337,1,"BL-BRZ","FLP2",NA,NA,"Down","all_Down"
"701","AT5G10770","all",17,19.7,20.1,11.4,8.87,11.2,0.0875,0.0914,0.109,0.0694,0.067,0.0748,0.0941,0.07,-0.854,3.88,40.2,0.000198,0.0048,1,"BL-BRZ","AT5G10770",NA,NA,"Down","all_Down"
"702","AT5G11000","all",19.9,23.2,21.4,44.4,41.2,49.4,0.179,0.194,0.214,0.278,0.327,0.36,0.193,0.314,1.07,5.06,102,6.46e-06,0.000667,0.152,"BL-BRZ","AT5G11000",NA,NA,"Up","all_Up"
"703","AT5G11110","all",194,152,143,106,63.6,73.4,0.499,0.434,0.47,0.38,0.291,0.263,0.465,0.323,-1.03,6.93,87.5,1.16e-05,0.000916,0.272,"BL-BRZ","SPS2",NA,NA,"Down","all_Down"
"704","AT5G11180","all",0.197,0.436,0.231,0.767,0.552,1.39,0.00226,0.00451,0.00334,0.00735,0.00832,0.0179,0.00345,0.0103,1.64,-0.709,16.1,0.00365,0.0295,1,"BL-BRZ","GLR2.6",NA,NA,"Up","all_Up"
"705","AT5G11540","all",9.78,7.92,9.75,20.3,11,16.8,0.072,0.0666,0.0839,0.131,0.112,0.137,0.0726,0.127,0.784,3.65,18.4,0.00249,0.0229,1,"BL-BRZ","GULLO3",NA,NA,"Up","all_Up"
"706","AT5G11690","all",7.99,9.59,8.33,11.7,15.6,15,0.0683,0.0911,0.0938,0.0817,0.151,0.144,0.0837,0.119,0.701,3.51,36.6,0.000276,0.00578,1,"BL-BRZ","TIM17-3",NA,NA,"Up","all_Up"
"707","AT5G11930","all",2.23,1.8,1.65,2.73,5.6,4.49,0.0252,0.0178,0.0214,0.0236,0.0554,0.0436,0.0212,0.0384,1.13,1.64,18.9,0.00229,0.0218,1,"BL-BRZ","GRXC10",NA,NA,"Up","all_Up"
"708","AT5G12020","all",13.2,24,47.2,6.89,20.2,16.8,0.0474,0.0664,0.111,0.0323,0.0667,0.0523,0.0704,0.0479,-0.942,4.42,17.8,0.00275,0.0246,1,"BL-BRZ","HSP17.6",NA,NA,"Down","all_Down"
"709","AT5G12270","all",0.484,0.257,0.231,0.187,0.0552,0.0764,0.00519,0.00327,0.00354,0.00194,0.000876,0.00124,0.00401,0.00144,-1.66,-2.09,22,0.00145,0.0162,1,"BL-BRZ","AT5G12270",NA,NA,"Down","all_Down"
"710","AT5G12850","all",37.7,40.3,36.9,66.6,59,60.2,0.275,0.267,0.28,0.349,0.385,0.379,0.273,0.367,0.69,5.65,51,8.56e-05,0.00294,1,"BL-BRZ","AT5G12850","AT5G12850","CCCH-type zinc finger protein with ARM repeat domain-containing protein","Up","all_Up"
"711","AT5G13060","all",2.56,3.07,2.68,3.85,5.18,5.36,0.0172,0.0186,0.0183,0.0253,0.0339,0.0319,0.018,0.0296,0.78,1.93,30.4,0.000513,0.00847,1,"BL-BRZ","ABAP1","ABAP1","ARMADILLO BTB protein 1","Up","all_Up"
"712","AT5G13080","all",42.3,25.5,31.3,30.3,10.7,18.6,0.114,0.0704,0.0934,0.122,0.0456,0.0576,0.0911,0.0822,-0.792,4.73,14.7,0.0047,0.0348,1,"BL-BRZ","WRKY75","WRKY75","WRKY DNA-binding protein 75","Down","all_Down"
"713","AT5G13140","all",3.37,1.93,1.85,1.5,0.856,0.939,0.0237,0.0128,0.0163,0.0126,0.00993,0.0108,0.0175,0.0113,-1.11,0.817,48.7,0.000101,0.00323,1,"BL-BRZ","AT5G13140",NA,NA,"Down","all_Down"
"714","AT5G13210","all",28.1,7.91,7.68,9.73,4.39,4.12,0.121,0.0489,0.0523,0.0654,0.0356,0.0319,0.0748,0.0478,-1.1,3.37,50.5,8.88e-05,0.003,1,"BL-BRZ","AT5G13210",NA,NA,"Down","all_Down"
"715","AT5G13330","all",67.6,71.9,73.6,50.4,29.5,28.8,0.278,0.225,0.239,0.241,0.145,0.12,0.247,0.181,-1.02,5.75,34.2,0.000345,0.00664,1,"BL-BRZ","ERF113","Rap2.6L","related to AP2 6l","Down","all_Down"
"716","AT5G13360","all",11.7,10.7,8.13,6.37,5.51,5.34,0.116,0.0989,0.0946,0.0578,0.0689,0.0646,0.104,0.0629,-0.826,3,35.9,0.000294,0.00603,1,"BL-BRZ","AT5G13360",NA,NA,"Down","all_Down"
"717","AT5G13370","all",9.08,2.81,2.53,2.12,0.653,0.655,0.0704,0.0227,0.0265,0.0187,0.00818,0.00816,0.0403,0.0128,-2.05,1.58,197,5e-07,0.000188,0.0118,"BL-BRZ","AT5G13370",NA,NA,"Down","all_Down"
"718","AT5G13870","all",82.2,159,160,194,345,245,0.236,0.232,0.197,0.359,0.307,0.262,0.225,0.318,1,7.63,44.6,0.000138,0.00382,1,"BL-BRZ","XTH5",NA,NA,"Up","all_Up"
"719","AT5G13930","all",1120,650,508,606,326,267,0.766,0.491,0.39,0.696,0.464,0.39,0.563,0.547,-0.938,9.18,48.4,0.000103,0.00327,1,"BL-BRZ","CHS",NA,NA,"Down","all_Down"
"720","AT5G14090","all",0.267,0.308,0.531,0.432,1.23,1.51,0.00226,0.00338,0.0055,0.00398,0.00949,0.0119,0.00349,0.00768,1.42,-0.457,20.3,0.00185,0.019,1,"BL-BRZ","LA1",NA,NA,"Up","all_Up"
"721","AT5G14340","all",14.4,10.4,12.7,32.9,31.3,31.2,0.0799,0.0668,0.0869,0.127,0.161,0.177,0.0761,0.15,1.35,4.47,142,1.79e-06,0.00036,0.0421,"BL-BRZ","AtMYB40","MYB40","myb domain protein 40","Up","all_Up"
"722","AT5G14450","all",1.06,1.26,0.901,1.4,2.12,2.25,0.0125,0.0144,0.0128,0.0135,0.0264,0.027,0.0134,0.0209,0.81,0.601,14.5,0.00488,0.0356,1,"BL-BRZ","AT5G14450",NA,NA,"Up","all_Up"
"723","AT5G14470","all",8.6,3.95,3.6,20.1,10.7,12.1,0.0611,0.0336,0.0338,0.113,0.0748,0.0731,0.0433,0.0911,1.46,3.3,123,3.13e-06,0.000476,0.0735,"BL-BRZ","GLCAK2",NA,NA,"Up","all_Up"
"724","AT5G14480","all",4.11,3.36,3.59,5.99,5.14,5.71,0.0505,0.04,0.0541,0.0569,0.0729,0.0773,0.047,0.067,0.609,2.22,22.7,0.00132,0.0153,1,"BL-BRZ","AT5G14480",NA,NA,"Up","all_Up"
"725","AT5G14570","all",4.38,1.34,1.73,1.59,0.791,0.983,0.0494,0.0161,0.0256,0.0159,0.0115,0.014,0.03,0.0141,-1.03,0.866,23,0.00126,0.0148,1,"BL-BRZ","NRT2.7",NA,NA,"Down","all_Down"
"726","AT5G14610","all",7.49,9.99,8.07,11.7,13.8,13.1,0.0797,0.0949,0.0959,0.0978,0.152,0.139,0.0898,0.125,0.595,3.42,23.9,0.00112,0.0138,1,"BL-BRZ","AT5G14610",NA,NA,"Up","all_Up"
"727","AT5G14640","all",60,51.6,53.9,35.5,34.5,35.9,0.419,0.303,0.362,0.262,0.279,0.267,0.358,0.268,-0.642,5.5,47.8,0.000108,0.00333,1,"BL-BRZ","ASK5",NA,NA,"Down","all_Down"
"728","AT5G14750","all",12.2,29,29.1,31.5,75.8,54.1,0.0928,0.128,0.129,0.165,0.249,0.206,0.116,0.201,1.23,5.27,81.2,1.54e-05,0.00106,0.359,"BL-BRZ","WER","MYB66","myb domain protein 66","Up","all_Up"
"729","AT5G14880","all",11.8,13.2,12,7.25,5.94,9.26,0.112,0.12,0.132,0.0586,0.0673,0.0906,0.12,0.0694,-0.722,3.31,18.3,0.00254,0.0232,1,"BL-BRZ","POT8",NA,NA,"Down","all_Down"
"730","AT5G14920","all",16.8,23.2,24.1,28.6,34.7,39.2,0.0751,0.0723,0.0765,0.117,0.128,0.117,0.0743,0.12,0.687,4.8,52.4,7.75e-05,0.00274,1,"BL-BRZ","GASA14",NA,NA,"Up","all_Up"
"731","AT5G15120","all",0.513,0.89,1.32,2.4,3.65,3.83,0.00532,0.00913,0.013,0.0189,0.0359,0.0381,0.00871,0.029,1.91,1.08,87.4,1.17e-05,0.000916,0.273,"BL-BRZ","PCO1",NA,NA,"Up","all_Up"
"732","AT5G15130","all",13.3,12.7,15.9,17.8,23.4,26.5,0.112,0.0983,0.136,0.121,0.157,0.185,0.112,0.148,0.679,4.19,26.1,0.000844,0.0116,1,"BL-BRZ","WRKY72","WRKY72","WRKY DNA-binding protein 72","Up","all_Up"
"733","AT5G15150","all",62.2,65.4,71.8,110,130,99.7,0.177,0.154,0.142,0.313,0.256,0.209,0.159,0.269,0.768,6.49,38.9,0.000223,0.00522,1,"BL-BRZ","HAT7","HB-3","homeobox 3","Up","all_Up"
"734","AT5G15190","all",24.2,34.8,47.4,14.5,23.9,20.1,0.142,0.144,0.161,0.102,0.132,0.113,0.147,0.114,-0.845,4.78,38.2,0.000236,0.00533,1,"BL-BRZ","AT5G15190",NA,NA,"Down","all_Down"
"735","AT5G15230","all",1010,1280,1330,1540,2450,1970,0.736,0.618,0.532,0.91,0.846,0.77,0.639,0.855,0.711,10.6,33.7,0.000363,0.00684,1,"BL-BRZ","GASA4",NA,NA,"Up","all_Up"
"736","AT5G15265","all",267,287,272,147,191,188,0.573,0.467,0.473,0.497,0.494,0.448,0.506,0.484,-0.658,7.82,37.1,0.000262,0.00563,1,"BL-BRZ","AT5G15265",NA,NA,"Down","all_Down"
"737","AT5G15350","all",179,210,226,315,357,336,0.548,0.511,0.517,0.674,0.688,0.679,0.525,0.68,0.716,8.08,49.9,9.28e-05,0.00306,1,"BL-BRZ","ENODL17",NA,NA,"Up","all_Up"
"738","AT5G15630","all",9.72,6.41,10.9,4.92,3.7,5.52,0.0193,0.0243,0.0322,0.014,0.0194,0.0204,0.0244,0.0173,-0.933,2.78,17.1,0.00309,0.0264,1,"BL-BRZ","COBL4",NA,NA,"Down","all_Down"
"739","AT5G15960","all",253,285,301,157,117,116,0.389,0.244,0.256,0.236,0.146,0.115,0.298,0.178,-1.12,7.68,60.6,4.59e-05,0.00202,1,"BL-BRZ","KIN1",NA,NA,"Down","all_Down"
"740","AT5G15970","all",1490,1330,1690,648,631,616,0.916,0.651,0.661,0.756,0.498,0.429,0.746,0.594,-1.25,10.1,103,6.33e-06,0.000657,0.148,"BL-BRZ","KIN2",NA,NA,"Down","all_Down"
"741","AT5G16000","all",4.28,5.75,5.68,8.84,7.45,8.3,0.0415,0.0545,0.0664,0.0625,0.0765,0.0811,0.0528,0.0715,0.656,2.75,18.4,0.00247,0.0228,1,"BL-BRZ","NIK1",NA,NA,"Up","all_Up"
"742","AT5G16010","all",172,84.9,123,119,55.6,77.6,0.281,0.149,0.166,0.211,0.114,0.0972,0.199,0.152,-0.604,6.72,12.3,0.00764,0.0482,1,"BL-BRZ","AT5G16010",NA,NA,"Down","all_Down"
"743","AT5G16190","all",2.44,3.56,3.52,3.16,5.7,6.42,0.0256,0.0354,0.036,0.0274,0.0533,0.0587,0.0321,0.0433,0.644,2.05,19.5,0.0021,0.0207,1,"BL-BRZ","ATCSLA11",NA,NA,"Up","all_Up"
"744","AT5G16540","all",14.4,10.5,11.2,9.27,7.14,7.05,0.13,0.102,0.125,0.0815,0.0868,0.0858,0.117,0.0842,-0.62,3.31,33.6,0.000367,0.00687,1,"BL-BRZ","ZFN3","ZFN3","zinc finger nuclease 3","Down","all_Down"
"745","AT5G16590","all",65.5,60.1,52.4,147,115,128,0.309,0.31,0.32,0.471,0.502,0.505,0.312,0.489,1.13,6.57,113,4.35e-06,0.000554,0.102,"BL-BRZ","LRR1",NA,NA,"Up","all_Up"
"746","AT5G16720","all",6.72,9.55,9.82,10.7,12.5,15.9,0.0514,0.079,0.0912,0.0675,0.116,0.132,0.0722,0.0985,0.593,3.44,22.1,0.00142,0.016,1,"BL-BRZ","MYOB3",NA,NA,"Up","all_Up"
"747","AT5G16730","all",83.4,81.3,85.3,139,122,122,0.411,0.4,0.446,0.52,0.553,0.54,0.415,0.535,0.613,6.72,39.4,0.000213,0.00509,1,"BL-BRZ","AT5G16730",NA,NA,"Up","all_Up"
"748","AT5G16790","all",1.89,2.34,2.26,1.36,1.44,1.36,0.0221,0.025,0.0297,0.0129,0.0185,0.017,0.0251,0.0157,-0.638,0.844,16.3,0.00357,0.0291,1,"BL-BRZ","THO7A",NA,NA,"Down","all_Down"
"749","AT5G16800","all",27.1,23.7,27.2,15.8,17.5,17,0.237,0.197,0.246,0.137,0.188,0.177,0.223,0.163,-0.635,4.42,37.8,0.000245,0.00542,1,"BL-BRZ","AT5G16800","AT5G16800","Acyl-CoA N-acyltransferases (NAT) superfamily protein","Down","all_Down"
"750","AT5G16810","all",4.22,6.16,5.53,2.3,2.71,2.05,0.0451,0.055,0.0533,0.0215,0.0321,0.0231,0.0511,0.0251,-1.16,1.94,46.6,0.000118,0.00349,1,"BL-BRZ","AT5G16810",NA,NA,"Down","all_Down"
