"","gene","cluster_id","sc_122.cpm","sc_126.cpm","sc_124.cpm","sc_128.cpm","sc_122.frq","sc_126.frq","sc_124.frq","sc_128.frq","WT.frq","df1.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"1452","AT2G43590","Maturation_Atrichoblast",630,717,966,1270,0.842,0.847,0.852,0.873,0.844,0.859,0.718,9.81,20.2,7.02e-06,0.00117,1,"df1-WT","AT2G43590",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1453","AT2G43610","Maturation_Atrichoblast",275,436,445,797,0.425,0.388,0.41,0.405,0.41,0.408,0.783,8.93,21.6,3.33e-06,0.000643,1,"df1-WT","AT2G43610",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1454","AT2G44370","Maturation_Atrichoblast",59.9,74,111,130,0.286,0.339,0.43,0.476,0.307,0.446,0.846,6.55,16.7,4.33e-05,0.00478,1,"df1-WT","AT2G44370",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1455","AT2G44840","Maturation_Atrichoblast",85.5,189,72.1,53.2,0.231,0.213,0.123,0.0873,0.224,0.111,-1.02,6.67,23.1,1.52e-06,0.000323,0.792,"df1-WT","ERF13","ERF13","ethylene-responsive element binding factor 13","Down","Maturation_Atrichoblast_Down"
"1456","AT2G46390","Maturation_Atrichoblast",167,162,257,330,0.626,0.667,0.713,0.746,0.643,0.724,0.822,7.84,20.1,7.49e-06,0.00122,1,"df1-WT","SDH8",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1457","AT2G47950","Maturation_Atrichoblast",199,180,134,110,0.473,0.421,0.352,0.286,0.452,0.33,-0.633,7.3,10.8,0.001,0.0479,1,"df1-WT","AT2G47950",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1458","AT4G00170","Maturation_Atrichoblast",20.1,19.7,43.9,94,0.147,0.191,0.254,0.389,0.164,0.3,1.69,5.45,49.2,2.4e-12,3.21e-09,1.26e-06,"df1-WT","PVA13",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1459","AT4G01610","Maturation_Atrichoblast",168,209,289,308,0.674,0.814,0.836,0.889,0.73,0.854,0.672,7.93,13.7,0.000212,0.0155,1,"df1-WT","CATHB3",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1460","AT4G02270","Maturation_Atrichoblast",30.3,35.9,28.7,5.19,0.234,0.333,0.217,0.0635,0.274,0.165,-1.04,4.74,14.5,0.000141,0.0118,1,"df1-WT","RHS13",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1461","AT4G04620","Maturation_Atrichoblast",37,44.3,73.4,66.8,0.223,0.273,0.258,0.333,0.243,0.284,0.793,5.81,12.7,0.000358,0.0227,1,"df1-WT","ATG8B",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1462","AT4G04840","Maturation_Atrichoblast",71.7,52.1,32.9,36.3,0.344,0.333,0.18,0.238,0.34,0.2,-0.837,5.63,13.3,0.00026,0.018,1,"df1-WT","MSRB6",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1463","AT4G05160","Maturation_Atrichoblast",39,37.2,59.9,69.4,0.253,0.301,0.381,0.46,0.272,0.408,0.754,5.7,11.3,0.000779,0.039,1,"df1-WT","4CLL7",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1464","AT4G05590","Maturation_Atrichoblast",52.8,62.2,105,124,0.322,0.426,0.516,0.571,0.364,0.535,0.995,6.43,22.4,2.22e-06,0.000451,1,"df1-WT","AT4G05590",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1465","AT4G10390","Maturation_Atrichoblast",24.8,50.8,21.5,16.2,0.128,0.164,0.0861,0.0794,0.143,0.0838,-0.893,4.89,11.7,0.000631,0.0347,1,"df1-WT","AT4G10390",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1466","AT4G11010","Maturation_Atrichoblast",502,455,657,786,0.905,0.918,0.902,0.976,0.91,0.927,0.589,9.23,12.7,0.000364,0.0229,1,"df1-WT","NDPK3",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1467","AT4G11100","Maturation_Atrichoblast",4.33,4.82,9.7,14.3,0.0403,0.0546,0.0861,0.127,0.0461,0.1,1.35,3.13,11,0.00091,0.0442,1,"df1-WT","AT4G11100",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1468","AT4G11280","Maturation_Atrichoblast",37.4,93.3,45.1,22.7,0.143,0.208,0.135,0.111,0.169,0.127,-0.815,5.68,11.9,0.000567,0.0319,1,"df1-WT","ACS6",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1469","AT4G12510","Maturation_Atrichoblast",777,1070,1210,1540,0.736,0.809,0.795,0.786,0.765,0.792,0.586,10.2,14,0.000181,0.0141,1,"df1-WT","AT4G12510",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1470","AT4G12520","Maturation_Atrichoblast",275,399,455,547,0.615,0.656,0.66,0.698,0.632,0.673,0.59,8.71,12,0.000544,0.0309,1,"df1-WT","AT4G12520",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1471","AT4G12545","Maturation_Atrichoblast",995,1630,2190,2820,0.832,0.88,0.914,0.96,0.851,0.93,0.962,10.9,39.9,2.79e-10,2.38e-07,0.000146,"df1-WT","AIR1B",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1472","AT4G13520","Maturation_Atrichoblast",61.5,67.5,93.7,132,0.377,0.448,0.5,0.524,0.406,0.508,0.785,6.47,14.2,0.000169,0.0135,1,"df1-WT","SMAP1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1473","AT4G14880","Maturation_Atrichoblast",1290,1310,1880,2300,0.949,0.973,0.947,0.992,0.958,0.962,0.678,10.7,19.7,9.07e-06,0.00141,1,"df1-WT","OASA1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1474","AT4G15390","Maturation_Atrichoblast",9.06,8.32,16.9,22.7,0.0696,0.0765,0.131,0.183,0.0724,0.149,1.16,3.88,12.7,0.000371,0.0232,1,"df1-WT","AT4G15390",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1475","AT4G16190","Maturation_Atrichoblast",383,493,599,764,0.791,0.749,0.811,0.849,0.774,0.824,0.64,9.13,14.9,0.000115,0.0101,1,"df1-WT","RD19C",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1476","AT4G16450","Maturation_Atrichoblast",181,191,289,277,0.663,0.754,0.795,0.762,0.7,0.784,0.607,7.88,11.1,0.000862,0.0426,1,"df1-WT","AT4G16450",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1477","AT4G16490","Maturation_Atrichoblast",24,26.7,11.4,13,0.136,0.142,0.0861,0.0873,0.138,0.0865,-1.06,4.32,13,0.000319,0.0211,1,"df1-WT","AT4G16490",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1478","AT4G17470","Maturation_Atrichoblast",12.2,12.7,26.6,25.9,0.0952,0.12,0.184,0.222,0.105,0.197,1.07,4.32,13.9,0.000197,0.015,1,"df1-WT","AT4G17470",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1479","AT4G18930","Maturation_Atrichoblast",147,168,208,278,0.604,0.667,0.676,0.833,0.629,0.73,0.616,7.65,11,0.000912,0.0442,1,"df1-WT","AT4G18930",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1480","AT4G18940","Maturation_Atrichoblast",9.06,7.01,16.5,26.6,0.0623,0.0546,0.0984,0.183,0.0592,0.127,1.36,3.91,17.6,2.76e-05,0.0035,1,"df1-WT","AT4G18940",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1481","AT4G19975","Maturation_Atrichoblast",11.8,13.1,21.5,34.4,0.0879,0.126,0.164,0.262,0.103,0.197,1.12,4.35,15.4,8.87e-05,0.00845,1,"df1-WT","AT4G19975",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1482","AT4G20150","Maturation_Atrichoblast",398,362,526,648,0.872,0.874,0.906,0.881,0.873,0.897,0.619,8.92,13.5,0.000235,0.0168,1,"df1-WT","AT4G20150",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1483","AT4G21600","Maturation_Atrichoblast",87.9,122,173,170,0.502,0.617,0.656,0.794,0.548,0.703,0.731,7.12,13.9,0.000192,0.0147,1,"df1-WT","ENDO5",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1484","AT4G21840","Maturation_Atrichoblast",264,321,222,116,0.546,0.525,0.475,0.54,0.537,0.497,-0.843,7.86,20.4,6.34e-06,0.00108,1,"df1-WT","MSRB8",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1485","AT4G22110","Maturation_Atrichoblast",22.1,28.9,41.8,55.8,0.168,0.246,0.283,0.365,0.2,0.311,0.932,5.22,15.1,0.000104,0.00939,1,"df1-WT","AT4G22110",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1486","AT4G22310","Maturation_Atrichoblast",174,202,254,347,0.593,0.721,0.738,0.81,0.645,0.762,0.662,7.93,13.3,0.000261,0.018,1,"df1-WT","MPC4",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1487","AT4G23430","Maturation_Atrichoblast",152,210,234,318,0.59,0.65,0.648,0.825,0.614,0.708,0.607,7.84,11,0.000891,0.0437,1,"df1-WT","TIC32",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1488","AT4G23700","Maturation_Atrichoblast",62.6,67,119,115,0.315,0.366,0.439,0.484,0.336,0.454,0.854,6.51,16.9,3.99e-05,0.00451,1,"df1-WT","CHX17",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1489","AT4G23710","Maturation_Atrichoblast",377,392,586,698,0.835,0.874,0.877,0.952,0.851,0.903,0.734,9,19.2,1.17e-05,0.00175,1,"df1-WT","VHA-G2",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1490","AT4G25820","Maturation_Atrichoblast",48.5,74.5,62.4,12.3,0.337,0.443,0.303,0.0794,0.379,0.227,-0.855,5.68,12.6,0.000387,0.0239,1,"df1-WT","XTH14",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1491","AT4G25830","Maturation_Atrichoblast",119,164,170,285,0.495,0.574,0.59,0.738,0.526,0.641,0.656,7.53,12.2,0.000487,0.0286,1,"df1-WT","AT4G25830",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1492","AT4G25900","Maturation_Atrichoblast",300,417,569,631,0.875,0.94,0.975,0.984,0.901,0.978,0.759,8.91,20.3,6.83e-06,0.00115,1,"df1-WT","AT4G25900",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1493","AT4G26220","Maturation_Atrichoblast",147,221,253,369,0.432,0.519,0.541,0.73,0.467,0.605,0.757,7.95,17.5,2.95e-05,0.00367,1,"df1-WT","AT4G26220",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1494","AT4G26710","Maturation_Atrichoblast",250,262,393,452,0.758,0.792,0.828,0.913,0.772,0.857,0.719,8.41,17,3.82e-05,0.00435,1,"df1-WT","VHA-E2",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1495","AT4G27280","Maturation_Atrichoblast",61.9,166,77.6,35.7,0.158,0.197,0.156,0.151,0.173,0.154,-0.885,6.44,15.6,7.73e-05,0.00755,1,"df1-WT","KRP1",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1496","AT4G27740","Maturation_Atrichoblast",30.7,46,59.1,75.2,0.212,0.301,0.328,0.468,0.248,0.376,0.823,5.73,13.5,0.000238,0.0169,1,"df1-WT","AT4G27740",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1497","AT4G27745","Maturation_Atrichoblast",50.8,67.9,98.7,121,0.286,0.399,0.463,0.5,0.331,0.476,0.892,6.4,18,2.24e-05,0.00295,1,"df1-WT","AT4G27745",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1498","AT4G28940","Maturation_Atrichoblast",302,339,572,535,0.795,0.836,0.914,0.889,0.811,0.905,0.791,8.77,21.6,3.43e-06,0.00065,1,"df1-WT","AT4G28940",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1499","AT4G29210","Maturation_Atrichoblast",10.6,14.5,27,25.3,0.0916,0.158,0.225,0.238,0.118,0.23,1.08,4.32,13.9,0.000196,0.0149,1,"df1-WT","GGT3",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1500","AT4G29350","Maturation_Atrichoblast",812,806,1120,1480,0.945,0.967,0.955,0.976,0.954,0.962,0.672,10,18.1,2.13e-05,0.00288,1,"df1-WT","PRO2",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1501","AT4G29690","Maturation_Atrichoblast",26,11.8,8.86,6.48,0.143,0.104,0.0451,0.0635,0.127,0.0514,-1.28,3.88,14.1,0.000172,0.0136,1,"df1-WT","AT4G29690",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1502","AT4G29905","Maturation_Atrichoblast",229,428,136,196,0.407,0.415,0.406,0.381,0.41,0.397,-0.939,7.96,26.4,2.8e-07,8.34e-05,0.146,"df1-WT","AT4G29905",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1503","AT4G30170","Maturation_Atrichoblast",306,280,504,679,0.773,0.787,0.807,0.921,0.779,0.846,1,8.79,34.1,5.23e-09,3.07e-06,0.00274,"df1-WT","PER45",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1504","AT4G31800","Maturation_Atrichoblast",307,404,178,198,0.429,0.399,0.307,0.238,0.417,0.284,-0.905,8.09,25.3,5.07e-07,0.000129,0.265,"df1-WT","WRKY18","WRKY18","WRKY DNA-binding protein 18","Down","Maturation_Atrichoblast_Down"
"1505","AT4G32480","Maturation_Atrichoblast",393,538,320,290,0.634,0.596,0.455,0.468,0.618,0.459,-0.592,8.59,11.7,0.00061,0.0337,1,"df1-WT","AT4G32480",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1506","AT4G33050","Maturation_Atrichoblast",3.15,3.07,9.28,13,0.0293,0.0383,0.0861,0.151,0.0329,0.108,1.79,2.93,15.7,7.45e-05,0.00736,1,"df1-WT","EDA39",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1507","AT4G34150","Maturation_Atrichoblast",137,136,111,57,0.484,0.415,0.357,0.381,0.456,0.365,-0.752,6.81,13.5,0.000235,0.0168,1,"df1-WT","AT4G34150",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1508","AT4G34800","Maturation_Atrichoblast",12.6,27.2,11,5.19,0.114,0.169,0.0861,0.0635,0.136,0.0784,-1.14,3.93,11.8,0.000592,0.0328,1,"df1-WT","AT4G34800",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1509","AT4G36500","Maturation_Atrichoblast",3540,4710,2990,2360,0.989,0.989,0.967,0.992,0.989,0.976,-0.619,11.7,17.6,2.75e-05,0.0035,1,"df1-WT","AT4G36500",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1510","AT4G36900","Maturation_Atrichoblast",347,493,274,271,0.542,0.525,0.385,0.357,0.535,0.376,-0.601,8.44,11.8,0.000581,0.0324,1,"df1-WT","RAP2-10","RAP2.10","related to AP2 10","Down","Maturation_Atrichoblast_Down"
"1511","AT4G37260","Maturation_Atrichoblast",98.9,221,76.8,91.4,0.297,0.311,0.238,0.246,0.303,0.241,-0.82,6.94,16.5,4.86e-05,0.00518,1,"df1-WT","MYB73","MYB73","myb domain protein 73","Down","Maturation_Atrichoblast_Down"
"1512","AT4G37390","Maturation_Atrichoblast",418,734,211,386,0.366,0.426,0.246,0.222,0.39,0.238,-0.955,8.78,31.2,2.33e-08,1.07e-05,0.0122,"df1-WT","YDK1",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1513","AT4G37710","Maturation_Atrichoblast",39.8,52.6,35.4,11,0.158,0.142,0.135,0.0952,0.151,0.122,-1.03,5.19,16.6,4.63e-05,0.00502,1,"df1-WT","VQ29",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1514","AT4G38620","Maturation_Atrichoblast",91.4,190,24.9,51.2,0.158,0.186,0.0697,0.0794,0.169,0.073,-1.88,6.51,73.9,8.89e-18,2.78e-14,4.66e-12,"df1-WT","MYB4","MYB4","myb domain protein 4","Down","Maturation_Atrichoblast_Down"
"1515","AT4G38810","Maturation_Atrichoblast",309,300,170,211,0.619,0.607,0.443,0.532,0.614,0.473,-0.683,7.96,14.2,0.000168,0.0134,1,"df1-WT","AT4G38810",NA,NA,"Down","Maturation_Atrichoblast_Down"
"1516","ATMG00030","Maturation_Atrichoblast",1310,868,1690,1580,1,0.989,1,1,0.996,1,0.619,10.4,15.9,6.64e-05,0.00677,1,"df1-WT","ORF107A",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1517","ATMG00070","Maturation_Atrichoblast",5.12,8.32,11.4,21.4,0.044,0.0929,0.107,0.214,0.0636,0.143,1.26,3.57,12.4,0.000423,0.0258,1,"df1-WT","NAD9",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1518","ATMG00730","Maturation_Atrichoblast",6.7,5.7,9.7,22,0.0549,0.0656,0.0861,0.23,0.0592,0.135,1.25,3.49,11.6,0.000661,0.0355,1,"df1-WT","COX3",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1519","ATCG00450","Maturation_Atrichoblast",0,0,0,59.6,0,0,0,0.373,0,0.127,8.93,3.73,111,8.88e-26,3.33e-22,4.65e-20,"df1-WT","TRNV.1",NA,NA,"Up","Maturation_Atrichoblast_Up"
"1520","AT1G05060","Maturation_Cortex",18.3,9.25,30.5,39.1,0.111,0.0633,0.138,0.297,0.0932,0.193,1.33,4.7,14.6,0.000134,0.0216,1,"df1-WT","AT1G05060",NA,NA,"Up","Maturation_Cortex_Up"
"1521","AT1G05810","Maturation_Cortex",31.4,32.7,18.8,6.96,0.192,0.241,0.129,0.0991,0.21,0.118,-1.39,4.53,16.3,5.35e-05,0.0108,1,"df1-WT","ARA",NA,NA,"Down","Maturation_Cortex_Down"
"1522","AT1G09815","Maturation_Cortex",30.4,24.9,57,75.3,0.155,0.139,0.195,0.396,0.149,0.265,1.24,5.6,14.1,0.000172,0.026,1,"df1-WT","POLD4",NA,NA,"Up","Maturation_Cortex_Up"
"1523","AT1G11260","Maturation_Cortex",46.6,61.2,23.8,23.1,0.221,0.253,0.176,0.207,0.233,0.187,-1.19,5.29,13.2,0.000274,0.0364,1,"df1-WT","STP1",NA,NA,"Down","Maturation_Cortex_Down"
"1524","AT1G12560","Maturation_Cortex",22.5,14.9,14.4,1.74,0.0996,0.114,0.11,0.036,0.105,0.0841,-1.42,3.82,12.3,0.000443,0.0491,1,"df1-WT","EXPA7",NA,NA,"Down","Maturation_Cortex_Down"
"1525","AT1G15415","Maturation_Cortex",8.37,7.83,21,22.6,0.0406,0.038,0.114,0.225,0.0396,0.153,1.42,4.04,13.5,0.000237,0.0322,1,"df1-WT","AT1G15415",NA,NA,"Up","Maturation_Cortex_Up"
"1526","AT1G19570","Maturation_Cortex",61.8,44.8,100,135,0.258,0.215,0.362,0.739,0.242,0.492,1.13,6.45,12.6,0.000378,0.0454,1,"df1-WT","DHAR1",NA,NA,"Up","Maturation_Cortex_Up"
"1527","AT1G20010","Maturation_Cortex",42.9,39.2,19.4,12.2,0.218,0.215,0.152,0.216,0.217,0.174,-1.4,4.86,17.4,3.09e-05,0.00727,1,"df1-WT","TUBB5",NA,NA,"Down","Maturation_Cortex_Down"
"1528","AT1G20823","Maturation_Cortex",65.4,39.2,31.6,6.96,0.181,0.114,0.105,0.0901,0.156,0.0997,-1.63,5.19,22.9,1.69e-06,0.000868,0.883,"df1-WT","ATL80",NA,NA,"Down","Maturation_Cortex_Down"
"1529","AT1G23750","Maturation_Cortex",32.4,44.1,23.3,11.3,0.196,0.297,0.195,0.189,0.233,0.193,-1.18,4.82,12.4,0.000423,0.0484,1,"df1-WT","AT1G23750",NA,NA,"Down","Maturation_Cortex_Down"
"1530","AT1G25400","Maturation_Cortex",249,287,184,64.4,0.502,0.487,0.348,0.441,0.497,0.38,-1.28,7.62,15.3,9.32e-05,0.0164,1,"df1-WT","AT1G25400",NA,NA,"Down","Maturation_Cortex_Down"
"1531","AT1G27140","Maturation_Cortex",36.6,34.9,16.6,10.4,0.21,0.241,0.124,0.18,0.221,0.143,-1.42,4.66,17.4,2.98e-05,0.00718,1,"df1-WT","GSTU14",NA,NA,"Down","Maturation_Cortex_Down"
"1532","AT1G29930","Maturation_Cortex",31.9,37,7.2,17.8,0.137,0.146,0.0429,0.198,0.14,0.0966,-1.51,4.6,19.2,1.2e-05,0.00346,1,"df1-WT","LHCB1.3",NA,NA,"Down","Maturation_Cortex_Down"
"1533","AT1G30870","Maturation_Cortex",41.3,24.9,19.4,1.74,0.122,0.152,0.129,0.036,0.133,0.0966,-1.92,4.49,27.7,1.4e-07,0.000101,0.0733,"df1-WT","PER7",NA,NA,"Down","Maturation_Cortex_Down"
"1534","AT1G32010","Maturation_Cortex",0,0,0,240,0,0,0,0.757,0,0.262,10.5,5.99,121,5.88e-28,1.12e-23,3.08e-22,"df1-WT","AT1G32010",NA,NA,"Up","Maturation_Cortex_Up"
"1535","AT1G52060","Maturation_Cortex",201,280,69.8,128,0.207,0.241,0.143,0.252,0.219,0.181,-1.32,7.41,17.4,2.97e-05,0.00718,1,"df1-WT","JAL9",NA,NA,"Down","Maturation_Cortex_Down"
"1536","AT1G52750","Maturation_Cortex",20.9,15.7,11.1,1.3,0.0959,0.12,0.0667,0.018,0.105,0.0498,-1.75,3.69,17.1,3.51e-05,0.00794,1,"df1-WT","AT1G52750",NA,NA,"Down","Maturation_Cortex_Down"
"1537","AT1G53170","Maturation_Cortex",91.1,79.7,44.9,18.3,0.196,0.146,0.143,0.243,0.177,0.178,-1.54,5.88,21.8,2.98e-06,0.00118,1,"df1-WT","ERF8","ERF8","ethylene response factor 8","Down","Maturation_Cortex_Down"
"1538","AT1G55670","Maturation_Cortex",20.9,24.2,7.75,9.57,0.118,0.146,0.0571,0.153,0.128,0.0903,-1.38,4.03,13.5,0.000242,0.0326,1,"df1-WT","PSAG",NA,NA,"Down","Maturation_Cortex_Down"
"1539","AT1G57560","Maturation_Cortex",49.2,58.4,36,5.65,0.122,0.165,0.0857,0.0901,0.138,0.0872,-1.65,5.23,22.7,1.95e-06,0.00096,1,"df1-WT","AtMYB50","MYB50","myb domain protein 50","Down","Maturation_Cortex_Down"
"1540","AT1G57990","Maturation_Cortex",57,46.3,23.3,13.5,0.284,0.266,0.162,0.18,0.277,0.168,-1.52,5.16,20.8,5.26e-06,0.00182,1,"df1-WT","PUP18",NA,NA,"Down","Maturation_Cortex_Down"
"1541","AT1G60190","Maturation_Cortex",40.8,54.8,31,12.6,0.155,0.19,0.157,0.126,0.168,0.146,-1.2,5.14,13,0.000305,0.0389,1,"df1-WT","PUB19",NA,NA,"Down","Maturation_Cortex_Down"
"1542","AT1G61900","Maturation_Cortex",17.8,24.2,8.86,6.52,0.122,0.171,0.0667,0.126,0.14,0.0872,-1.44,3.9,13.9,0.000196,0.0291,1,"df1-WT","AT1G61900",NA,NA,"Down","Maturation_Cortex_Down"
"1543","AT1G63245","Maturation_Cortex",20.9,18.5,58.2,65.2,0.107,0.114,0.219,0.288,0.11,0.243,1.64,5.41,23.5,1.26e-06,0.000726,0.659,"df1-WT","CLE14",NA,NA,"Up","Maturation_Cortex_Up"
"1544","AT1G74590","Maturation_Cortex",6.8,8.54,26.6,41.3,0.0369,0.0443,0.124,0.252,0.0396,0.168,2.11,4.5,32,1.55e-08,1.34e-05,0.00813,"df1-WT","GSTU10",NA,NA,"Up","Maturation_Cortex_Up"
"1545","AT1G74930","Maturation_Cortex",113,124,47.6,3.91,0.129,0.114,0.0952,0.0811,0.124,0.0903,-2.66,6.17,55.2,1.11e-13,4.21e-10,5.81e-08,"df1-WT","ERF018","ORA47","Integrase-type DNA-binding superfamily protein","Down","Maturation_Cortex_Down"
"1546","AT1G76930","Maturation_Cortex",102,89,332,221,0.31,0.272,0.529,0.495,0.296,0.517,1.51,7.55,22.3,2.32e-06,0.00103,1,"df1-WT","ATEXT4",NA,NA,"Up","Maturation_Cortex_Up"
"1547","AT1G78100","Maturation_Cortex",105,126,115,12.2,0.288,0.31,0.219,0.234,0.296,0.224,-1.41,6.49,16.3,5.52e-05,0.0108,1,"df1-WT","AT1G78100",NA,NA,"Down","Maturation_Cortex_Down"
"1548","AT5G11070","Maturation_Cortex",54.4,48.4,33.2,13.5,0.188,0.234,0.233,0.198,0.205,0.221,-1.23,5.25,13.8,0.000202,0.0295,1,"df1-WT","AT5G11070",NA,NA,"Down","Maturation_Cortex_Down"
"1549","AT5G13740","Maturation_Cortex",51.3,61.9,31.6,19.1,0.188,0.253,0.148,0.207,0.212,0.168,-1.18,5.37,13,0.000308,0.0389,1,"df1-WT","ZIF1",NA,NA,"Down","Maturation_Cortex_Down"
"1550","AT5G14120","Maturation_Cortex",298,364,180,127,0.535,0.614,0.367,0.523,0.564,0.421,-1.12,7.92,12.4,0.000439,0.049,1,"df1-WT","AT5G14120",NA,NA,"Down","Maturation_Cortex_Down"
"1551","AT5G14330","Maturation_Cortex",105,104,66.5,33.5,0.461,0.576,0.4,0.459,0.503,0.421,-1.13,6.28,12.6,0.000393,0.0461,1,"df1-WT","AT5G14330",NA,NA,"Down","Maturation_Cortex_Down"
"1552","AT5G15230","Maturation_Cortex",342,280,212,86.6,0.834,0.829,0.786,0.748,0.832,0.773,-1.18,7.85,13.6,0.000228,0.0319,1,"df1-WT","GASA4",NA,NA,"Down","Maturation_Cortex_Down"
"1553","AT5G19260","Maturation_Cortex",23,35.6,12.2,11.3,0.103,0.127,0.0667,0.0991,0.112,0.0779,-1.3,4.39,13.8,0.000201,0.0295,1,"df1-WT","FAF3",NA,NA,"Down","Maturation_Cortex_Down"
"1554","AT5G20150","Maturation_Cortex",78,103,142,392,0.232,0.278,0.281,0.477,0.249,0.349,1.4,7.5,18.8,1.47e-05,0.00412,1,"df1-WT","SPX1",NA,NA,"Up","Maturation_Cortex_Up"
"1555","AT5G26260","Maturation_Cortex",299,230,217,53.9,0.568,0.601,0.51,0.495,0.58,0.505,-1.25,7.65,14.7,0.000127,0.0208,1,"df1-WT","AT5G26260",NA,NA,"Down","Maturation_Cortex_Down"
"1556","AT5G37540","Maturation_Cortex",92.1,127,65.4,20.9,0.273,0.285,0.229,0.234,0.277,0.231,-1.49,6.26,20.3,6.58e-06,0.00212,1,"df1-WT","AT5G37540",NA,NA,"Down","Maturation_Cortex_Down"
"1557","AT5G39320","Maturation_Cortex",109,108,69.8,33.1,0.502,0.633,0.443,0.495,0.55,0.461,-1.16,6.33,13.2,0.000281,0.0365,1,"df1-WT","UGD4",NA,NA,"Down","Maturation_Cortex_Down"
"1558","AT5G40510","Maturation_Cortex",44.5,31.3,22.7,9.13,0.273,0.253,0.186,0.189,0.266,0.187,-1.32,4.79,15.2,9.73e-05,0.0168,1,"df1-WT","AT5G40510",NA,NA,"Down","Maturation_Cortex_Down"
"1559","AT5G48900","Maturation_Cortex",24.1,22.8,9.97,3.04,0.0923,0.127,0.0524,0.0631,0.105,0.0561,-1.93,3.96,23.8,1.07e-06,0.000653,0.557,"df1-WT","AT5G48900",NA,NA,"Down","Maturation_Cortex_Down"
"1560","AT5G50760","Maturation_Cortex",8.37,11.4,26.6,56.5,0.0443,0.0759,0.152,0.243,0.0559,0.184,2,4.79,30.3,3.72e-08,2.95e-05,0.0195,"df1-WT","AT5G50760",NA,NA,"Up","Maturation_Cortex_Up"
"1561","AT5G55970","Maturation_Cortex",53.4,76.2,19.9,12.6,0.159,0.177,0.1,0.126,0.166,0.109,-1.99,5.35,34.3,4.82e-09,4.81e-06,0.00252,"df1-WT","AT5G55970",NA,NA,"Down","Maturation_Cortex_Down"
