"","gene","cluster_id","sc_111.cpm","sc_113.cpm","sc_112.cpm","sc_114.cpm","sc_111.frq","sc_113.frq","sc_112.frq","sc_114.frq","Control.frq","BRZ.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"1886","AT5G03285","Elongation_Atrichoblast",4.69,1.4,14.6,5.88,0.0567,0.0255,0.106,0.0933,0.049,0.103,1.73,2.78,18.1,2.15e-05,0.00078,1,"BRZ-Control","AT5G03285",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1887","AT5G03320","Elongation_Atrichoblast",14.9,19.2,9.76,4.7,0.172,0.248,0.102,0.107,0.191,0.103,-1.15,3.76,12.5,0.000399,0.0092,1,"BRZ-Control","PCRK2",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1888","AT5G03510","Elongation_Atrichoblast",23.8,32.8,17.1,9.99,0.206,0.255,0.159,0.12,0.218,0.15,-0.994,4.48,13.1,3e-04,0.00719,1,"BRZ-Control","AT5G03510","AT5G03510","C2H2-type zinc finger family protein","Down","Elongation_Atrichoblast_Down"
"1889","AT5G03590","Elongation_Atrichoblast",6.87,12.2,3.66,0,0.0777,0.185,0.0398,0,0.104,0.0299,-2.06,2.79,18.8,1.43e-05,0.000551,1,"BRZ-Control","AT5G03590",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1890","AT5G03660","Elongation_Atrichoblast",18.8,24.5,40.7,59.9,0.197,0.306,0.314,0.587,0.224,0.382,1.2,5.12,24.9,5.94e-07,3.33e-05,0.327,"BRZ-Control","AT5G03660",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1891","AT5G04120","Elongation_Atrichoblast",255,353,1050,598,0.626,0.662,0.522,0.64,0.635,0.551,1.41,9.14,44.2,3.06e-11,4.21e-09,1.7e-05,"BRZ-Control","IPSP",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1892","AT5G04200","Elongation_Atrichoblast",19.9,31.8,8.54,9.4,0.0588,0.236,0.0221,0.107,0.103,0.0432,-1.47,4.23,24.4,7.96e-07,4.32e-05,0.439,"BRZ-Control","AMC9",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1893","AT5G04310","Elongation_Atrichoblast",2.85,0.349,20.7,9.4,0.0336,0.00637,0.19,0.2,0.0269,0.193,3.14,2.99,57.5,3.53e-14,7.98e-12,1.97e-08,"BRZ-Control","AT5G04310",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1894","AT5G04330","Elongation_Atrichoblast",16.9,17.8,51.3,36.4,0.174,0.248,0.319,0.427,0.193,0.346,1.35,4.91,29.4,5.92e-08,4.18e-06,0.0328,"BRZ-Control","CYP84A4",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1895","AT5G04420","Elongation_Atrichoblast",26.3,32.5,16.3,17,0.258,0.325,0.133,0.227,0.275,0.156,-0.801,4.6,9.11,0.00255,0.0408,1,"BRZ-Control","AT5G04420",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1896","AT5G04480","Elongation_Atrichoblast",48.7,50.3,25.2,22.3,0.319,0.49,0.168,0.347,0.362,0.213,-1.05,5.26,18.2,2.04e-05,0.000746,1,"BRZ-Control","AT5G04480",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1897","AT5G04970","Elongation_Atrichoblast",153,242,80.9,128,0.601,0.79,0.31,0.733,0.648,0.415,-0.921,7.25,18.2,1.97e-05,0.000728,1,"BRZ-Control","PME47",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1898","AT5G05220","Elongation_Atrichoblast",7.7,7.34,27.3,25.9,0.0609,0.0764,0.155,0.24,0.0648,0.176,1.82,4.02,39.3,3.64e-10,4.09e-08,0.000202,"BRZ-Control","AT5G05220",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1899","AT5G05440","Elongation_Atrichoblast",56.1,46.8,82.6,122,0.317,0.293,0.389,0.573,0.311,0.435,0.955,6.25,18.1,2.11e-05,0.000766,1,"BRZ-Control","PYL5",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1900","AT5G05460","Elongation_Atrichoblast",7.87,3.14,13.4,11.8,0.0882,0.0573,0.119,0.24,0.0806,0.15,1.15,3.21,10.8,0.00099,0.0196,1,"BRZ-Control","ENGASE1",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1901","AT5G05710","Elongation_Atrichoblast",3.52,4.19,12.2,7.05,0.042,0.0764,0.124,0.12,0.0506,0.123,1.39,2.76,12.2,0.00048,0.0107,1,"BRZ-Control","AT5G05710",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1902","AT5G05880","Elongation_Atrichoblast",2.68,4.89,26.4,24.7,0.0315,0.0637,0.248,0.347,0.0395,0.272,2.85,3.74,75.6,3.74e-18,1.41e-15,2.09e-12,"BRZ-Control","UGT76C4",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1903","AT5G06360","Elongation_Atrichoblast",4.69,4.19,10.6,9.99,0.0546,0.0701,0.106,0.213,0.0585,0.133,1.2,2.88,10,0.00155,0.0278,1,"BRZ-Control","AT5G06360",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1904","AT5G06700","Elongation_Atrichoblast",87.6,126,54.5,50.5,0.527,0.796,0.319,0.573,0.594,0.382,-0.991,6.35,19.1,1.26e-05,0.000493,1,"BRZ-Control","TBR",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1905","AT5G06760","Elongation_Atrichoblast",148,75.1,209,312,0.324,0.408,0.367,0.747,0.344,0.462,1.25,7.53,32.6,1.17e-08,9.69e-07,0.00648,"BRZ-Control","LEA46",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1906","AT5G07110","Elongation_Atrichoblast",112,51,69.6,31.1,0.584,0.484,0.367,0.373,0.559,0.369,-0.7,6.1,9.1,0.00257,0.041,1,"BRZ-Control","PRA1B6",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1907","AT5G07250","Elongation_Atrichoblast",36.5,25.9,15.1,17,0.298,0.325,0.128,0.28,0.305,0.166,-0.975,4.67,13.3,0.00027,0.00663,1,"BRZ-Control","RBL3",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1908","AT5G07322","Elongation_Atrichoblast",64.8,12.2,162,41.1,0.256,0.0955,0.372,0.267,0.216,0.346,1.48,6.14,38.2,6.67e-10,7.12e-08,0.00037,"BRZ-Control","AT5G07322",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1909","AT5G07860","Elongation_Atrichoblast",132,194,39.5,54.1,0.416,0.675,0.212,0.48,0.48,0.279,-1.79,6.74,61,5.93e-15,1.52e-12,3.3e-09,"BRZ-Control","AT5G07860",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1910","AT5G07870","Elongation_Atrichoblast",76.2,102,37.4,59.9,0.382,0.478,0.226,0.653,0.406,0.332,-0.899,6.13,15.4,8.54e-05,0.00253,1,"BRZ-Control","AT5G07870",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1911","AT5G08080","Elongation_Atrichoblast",482,313,307,205,0.924,0.771,0.841,0.76,0.886,0.821,-0.633,8.36,9.29,0.00231,0.0382,1,"BRZ-Control","SYP132",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1912","AT5G08240","Elongation_Atrichoblast",34.3,24.5,91.5,52.9,0.256,0.248,0.465,0.453,0.254,0.462,1.28,5.66,29.7,5.18e-08,3.7e-06,0.0286,"BRZ-Control","AT5G08240",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1913","AT5G08590","Elongation_Atrichoblast",21.3,38.8,38.6,59.9,0.2,0.389,0.301,0.533,0.246,0.359,0.744,5.28,9.93,0.00163,0.0289,1,"BRZ-Control","SRK2G",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1914","AT5G08660","Elongation_Atrichoblast",28.5,25.2,16.3,12.3,0.279,0.299,0.15,0.227,0.284,0.169,-0.898,4.47,10.7,0.00105,0.0205,1,"BRZ-Control","AT5G08660",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1915","AT5G09978","Elongation_Atrichoblast",688,132,1230,261,0.771,0.567,0.699,0.627,0.72,0.681,0.907,9.18,19.1,1.22e-05,0.00048,1,"BRZ-Control","PEP7",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1916","AT5G09980","Elongation_Atrichoblast",209,326,115,220,0.471,0.669,0.336,0.667,0.52,0.419,-0.713,7.77,11.4,0.000735,0.0153,1,"BRZ-Control","PEP4",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1917","AT5G10030","Elongation_Atrichoblast",3.85,3.14,10.2,9.99,0.0441,0.0573,0.0973,0.187,0.0474,0.12,1.49,2.74,14.1,0.000172,0.00461,1,"BRZ-Control","TGA4","TGA4","TGACG motif-binding factor 4","Up","Elongation_Atrichoblast_Up"
"1918","AT5G10260","Elongation_Atrichoblast",74.4,38.8,37,27,0.447,0.382,0.252,0.333,0.431,0.272,-0.794,5.54,10.8,0.000993,0.0196,1,"BRZ-Control","RABH1E",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1919","AT5G10400","Elongation_Atrichoblast",5.36,4.54,10.2,15.9,0.0483,0.0764,0.102,0.173,0.0553,0.12,1.3,3.12,13.4,0.000248,0.00617,1,"BRZ-Control","HTR2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1920","AT5G10695","Elongation_Atrichoblast",175,47.9,202,131,0.437,0.293,0.358,0.427,0.401,0.375,0.78,7.13,12.6,0.000389,0.00901,1,"BRZ-Control","AT5G10695",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1921","AT5G10770","Elongation_Atrichoblast",87.6,43,271,99.3,0.412,0.299,0.704,0.52,0.384,0.658,1.44,6.97,41.7,1.09e-10,1.34e-08,6.08e-05,"BRZ-Control","AT5G10770",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1922","AT5G10930","Elongation_Atrichoblast",23.3,22.7,9.76,12.3,0.193,0.236,0.0796,0.24,0.204,0.12,-1.08,4.21,13.8,0.000207,0.00532,1,"BRZ-Control","CIPK5",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1923","AT5G11070","Elongation_Atrichoblast",48.9,61.1,88.3,122,0.3,0.395,0.323,0.427,0.324,0.349,0.924,6.31,17.3,3.25e-05,0.00111,1,"BRZ-Control","AT5G11070",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1924","AT5G11420","Elongation_Atrichoblast",9.21,5.24,36.2,15.3,0.0735,0.0764,0.142,0.12,0.0742,0.136,1.83,4.02,37.7,8.51e-10,8.8e-08,0.000472,"BRZ-Control","AT5G11420",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1925","AT5G11900","Elongation_Atrichoblast",34.7,25.9,15.1,20,0.311,0.312,0.146,0.36,0.311,0.199,-0.82,4.67,9.58,0.00197,0.0338,1,"BRZ-Control","AT5G11900",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1926","AT5G12020","Elongation_Atrichoblast",11.6,15.4,16.3,42.3,0.042,0.166,0.128,0.24,0.0727,0.156,0.983,4.34,13.4,0.000257,0.00638,1,"BRZ-Control","HSP17.6",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1927","AT5G12030","Elongation_Atrichoblast",13.4,8.04,17.5,50.5,0.0336,0.0892,0.0885,0.253,0.0474,0.13,1.42,4.39,27.2,1.88e-07,1.17e-05,0.104,"BRZ-Control","HSP17.7",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1928","AT5G12170","Elongation_Atrichoblast",29,27.9,49.2,54.1,0.246,0.325,0.35,0.56,0.265,0.402,0.851,5.31,13,0.000311,0.00739,1,"BRZ-Control","CLT3",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1929","AT5G12250","Elongation_Atrichoblast",128,161,79.7,95.2,0.595,0.592,0.407,0.507,0.594,0.432,-0.717,6.87,10.8,0.001,0.0197,1,"BRZ-Control","TUBB6",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1930","AT5G13190","Elongation_Atrichoblast",294,104,532,216,0.817,0.573,0.872,0.68,0.757,0.824,0.948,8.17,20.3,6.71e-06,0.000286,1,"BRZ-Control","AT5G13190",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1931","AT5G13200","Elongation_Atrichoblast",11.2,12.9,25.2,32.9,0.107,0.153,0.181,0.267,0.118,0.203,1.25,4.31,21.6,3.39e-06,0.000155,1,"BRZ-Control","AT5G13200",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1932","AT5G13240","Elongation_Atrichoblast",116,110,73.6,53.5,0.708,0.682,0.469,0.6,0.701,0.502,-0.835,6.49,13.9,0.00019,0.00497,1,"BRZ-Control","AT5G13240",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1933","AT5G13330","Elongation_Atrichoblast",49.2,78.6,63.5,150,0.275,0.503,0.305,0.72,0.332,0.409,0.654,6.39,8.69,0.0032,0.0487,1,"BRZ-Control","ERF113","Rap2.6L","related to AP2 6l","Up","Elongation_Atrichoblast_Up"
"1934","AT5G13870","Elongation_Atrichoblast",5.19,2.45,9.76,11.8,0.0462,0.0382,0.0973,0.147,0.0442,0.11,1.4,2.86,13.2,0.000282,0.00684,1,"BRZ-Control","XTH5",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1935","AT5G13910","Elongation_Atrichoblast",301,246,127,91.1,0.689,0.599,0.478,0.507,0.667,0.485,-1.33,7.6,38,7.35e-10,7.72e-08,0.000408,"BRZ-Control","LEP","LEP","Integrase-type DNA-binding superfamily protein","Down","Elongation_Atrichoblast_Down"
"1936","AT5G13970","Elongation_Atrichoblast",41.7,21.7,18.7,17,0.279,0.236,0.119,0.213,0.269,0.143,-0.815,4.74,9.48,0.00207,0.0351,1,"BRZ-Control","AT5G13970",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1937","AT5G14000","Elongation_Atrichoblast",44.2,73,24,42.9,0.342,0.522,0.19,0.493,0.387,0.266,-0.823,5.55,11.9,0.000549,0.012,1,"BRZ-Control","anac084","NAC084","NAC domain containing protein 84","Down","Elongation_Atrichoblast_Down"
"1938","AT5G14030","Elongation_Atrichoblast",802,400,548,231,0.958,0.968,0.916,0.88,0.961,0.907,-0.668,8.96,10.5,0.00119,0.0225,1,"BRZ-Control","AT5G14030",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1939","AT5G14040","Elongation_Atrichoblast",229,194,119,98.1,0.8,0.822,0.575,0.667,0.806,0.598,-0.961,7.34,19.9,8.36e-06,0.000348,1,"BRZ-Control","MPT3",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1940","AT5G14330","Elongation_Atrichoblast",1070,604,448,212,0.977,0.822,0.81,0.76,0.938,0.797,-1.38,9.2,44,3.36e-11,4.55e-09,1.87e-05,"BRZ-Control","AT5G14330",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1941","AT5G14690","Elongation_Atrichoblast",21.4,13.6,60.2,23.5,0.21,0.191,0.394,0.32,0.205,0.375,1.22,4.9,23,1.66e-06,8.13e-05,0.912,"BRZ-Control","AT5G14690",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1942","AT5G14730","Elongation_Atrichoblast",313,539,144,301,0.618,0.898,0.549,0.853,0.687,0.625,-0.978,8.35,21.9,2.93e-06,0.000137,1,"BRZ-Control","AT5G14730",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1943","AT5G14780","Elongation_Atrichoblast",5.86,3.14,14.2,8.81,0.0567,0.0446,0.128,0.0933,0.0537,0.12,1.34,3.03,13.3,0.00027,0.00663,1,"BRZ-Control","FDH1",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1944","AT5G15090","Elongation_Atrichoblast",303,252,186,158,0.866,0.822,0.699,0.8,0.855,0.724,-0.691,7.83,10.8,0.00104,0.0202,1,"BRZ-Control","VDAC3",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1945","AT5G15150","Elongation_Atrichoblast",132,165,76.5,95.2,0.586,0.65,0.398,0.547,0.602,0.435,-0.788,6.89,13,0.000304,0.00726,1,"BRZ-Control","HAT7","HB-3","homeobox 3","Down","Elongation_Atrichoblast_Down"
"1946","AT5G15180","Elongation_Atrichoblast",197,115,697,283,0.439,0.516,0.792,0.8,0.458,0.794,1.57,8.33,54.2,1.89e-13,3.61e-11,1.05e-07,"BRZ-Control","PER56",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1947","AT5G15210","Elongation_Atrichoblast",8.04,15.4,2.85,6.46,0.0903,0.204,0.0265,0.147,0.118,0.0565,-1.35,3.17,12,0.000531,0.0117,1,"BRZ-Control","ZHD8","HB30","homeobox protein 30","Down","Elongation_Atrichoblast_Down"
"1948","AT5G15230","Elongation_Atrichoblast",1700,2680,787,1680,0.958,0.981,0.81,0.947,0.964,0.844,-0.893,10.7,19.7,8.95e-06,0.000368,1,"BRZ-Control","GASA4",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1949","AT5G15490","Elongation_Atrichoblast",80.7,99.2,46.4,60.5,0.521,0.497,0.354,0.52,0.515,0.395,-0.757,6.19,11.2,0.000837,0.0169,1,"BRZ-Control","UGD3",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1950","AT5G15960","Elongation_Atrichoblast",47.6,38.8,233,215,0.174,0.274,0.381,0.56,0.199,0.425,2.38,7.04,110,9.23e-26,7.55e-23,5.15e-20,"BRZ-Control","KIN1",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1951","AT5G15970","Elongation_Atrichoblast",245,109,962,945,0.546,0.707,0.863,0.96,0.586,0.887,2.53,9.14,134,5.46e-31,5.96e-28,3.05e-25,"BRZ-Control","KIN2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1952","AT5G16010","Elongation_Atrichoblast",14.9,5.94,33.8,54.6,0.0693,0.0955,0.15,0.48,0.0758,0.233,1.98,4.69,56.3,6.46e-14,1.35e-11,3.59e-08,"BRZ-Control","AT5G16010",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1953","AT5G16130","Elongation_Atrichoblast",24.6,22,54.1,38.2,0.218,0.274,0.416,0.373,0.232,0.405,0.985,5.11,16.7,4.41e-05,0.00142,1,"BRZ-Control","RPS7C",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1954","AT5G16440","Elongation_Atrichoblast",339,205,115,150,0.813,0.682,0.518,0.627,0.78,0.545,-1.02,7.68,22.1,2.65e-06,0.000126,1,"BRZ-Control","IPP1",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1955","AT5G16560","Elongation_Atrichoblast",7.2,23.1,0.814,15.3,0.0777,0.261,0.00885,0.227,0.123,0.0631,-1.19,3.56,11.2,0.000807,0.0164,1,"BRZ-Control","KAN1","KAN","Homeodomain-like superfamily protein","Down","Elongation_Atrichoblast_Down"
"1956","AT5G17050","Elongation_Atrichoblast",16.6,11.2,26.8,22.3,0.166,0.178,0.217,0.32,0.169,0.243,0.817,4.28,9.12,0.00253,0.0407,1,"BRZ-Control","UGT78D2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1957","AT5G17460","Elongation_Atrichoblast",1330,490,1740,1270,0.803,0.911,0.925,0.947,0.829,0.93,0.873,10.2,18.2,2.02e-05,0.000742,1,"BRZ-Control","AT5G17460",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1958","AT5G17650","Elongation_Atrichoblast",25.8,17.1,39.9,32.3,0.17,0.197,0.186,0.4,0.177,0.239,0.75,4.85,9.14,0.00251,0.0406,1,"BRZ-Control","AT5G17650",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1959","AT5G17780","Elongation_Atrichoblast",3.52,2.79,11.8,14.7,0.042,0.0446,0.111,0.227,0.0427,0.14,1.99,2.94,27.5,1.63e-07,1.02e-05,0.0899,"BRZ-Control","AT5G17780",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1960","AT5G17850","Elongation_Atrichoblast",23.3,54.2,36.6,127,0.181,0.49,0.217,0.787,0.258,0.359,0.957,5.86,17,3.78e-05,0.00125,1,"BRZ-Control","CCX2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1961","AT5G18130","Elongation_Atrichoblast",18.9,12.9,6.91,7.64,0.13,0.115,0.0619,0.12,0.126,0.0764,-1.16,3.72,12.2,0.000476,0.0106,1,"BRZ-Control","AT5G18130",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1962","AT5G18310","Elongation_Atrichoblast",85.6,51,45.2,27,0.412,0.376,0.204,0.373,0.403,0.246,-0.919,5.77,15,0.000109,0.00315,1,"BRZ-Control","AT5G18310",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1963","AT5G18470","Elongation_Atrichoblast",6.03,2.45,11.8,12.9,0.0546,0.0446,0.0973,0.187,0.0521,0.12,1.46,3.04,15.9,6.53e-05,0.00199,1,"BRZ-Control","AT5G18470",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1964","AT5G18520","Elongation_Atrichoblast",48.6,83.8,35,33.5,0.403,0.669,0.257,0.453,0.469,0.306,-0.88,5.68,13.8,0.000205,0.00528,1,"BRZ-Control","AT5G18520",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1965","AT5G19010","Elongation_Atrichoblast",73.9,40.2,42.7,24.7,0.492,0.344,0.341,0.373,0.455,0.349,-0.752,5.57,9.81,0.00173,0.0305,1,"BRZ-Control","MPK16",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1966","AT5G19190","Elongation_Atrichoblast",70.7,39.8,36.6,21.7,0.422,0.318,0.217,0.227,0.397,0.219,-0.916,5.48,14.2,0.000169,0.00454,1,"BRZ-Control","AT5G19190",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1967","AT5G19240","Elongation_Atrichoblast",39.2,26.2,80.9,77,0.149,0.14,0.301,0.333,0.147,0.309,1.28,5.78,30.3,3.7e-08,2.79e-06,0.0205,"BRZ-Control","AT5G19240",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1968","AT5G19340","Elongation_Atrichoblast",464,261,185,169,0.716,0.662,0.54,0.667,0.703,0.571,-0.984,8.09,21.5,3.48e-06,0.000159,1,"BRZ-Control","AT5G19340",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1969","AT5G19550","Elongation_Atrichoblast",71.8,71.3,42.3,47,0.45,0.459,0.336,0.467,0.452,0.369,-0.685,5.9,8.81,0.00299,0.0463,1,"BRZ-Control","ASP2",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1970","AT5G20110","Elongation_Atrichoblast",27.1,72,8.95,42.9,0.223,0.439,0.0885,0.4,0.276,0.166,-1.09,5.25,18.7,1.56e-05,0.000591,1,"BRZ-Control","AT5G20110",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1971","AT5G20230","Elongation_Atrichoblast",88.4,67.4,169,157,0.151,0.261,0.27,0.493,0.179,0.326,1.07,6.9,24.2,8.84e-07,4.77e-05,0.487,"BRZ-Control","BCB",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1972","AT5G20700","Elongation_Atrichoblast",654,304,1180,428,0.973,0.885,0.978,0.96,0.951,0.973,0.674,9.33,10.8,0.001,0.0197,1,"BRZ-Control","FLZ14",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1973","AT5G20710","Elongation_Atrichoblast",2.18,2.45,19.9,12.9,0.0252,0.0382,0.142,0.2,0.0284,0.156,2.88,3.12,55.3,1.08e-13,2.12e-11,6e-08,"BRZ-Control","BGAL7",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1974","AT5G22120","Elongation_Atrichoblast",29,26.9,15.1,17,0.271,0.369,0.142,0.227,0.295,0.163,-0.813,4.55,9.16,0.00247,0.0402,1,"BRZ-Control","AT5G22120",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1975","AT5G22140","Elongation_Atrichoblast",76.9,86.3,35,57.6,0.368,0.478,0.226,0.493,0.395,0.292,-0.861,6.03,13.9,0.000189,0.00496,1,"BRZ-Control","AT5G22140",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1976","AT5G22920","Elongation_Atrichoblast",59.3,51.7,14.2,32.9,0.313,0.389,0.128,0.333,0.332,0.179,-1.34,5.37,28.5,9.5e-08,6.37e-06,0.0525,"BRZ-Control","RZPF34",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1977","AT5G23220","Elongation_Atrichoblast",283,169,576,570,0.601,0.72,0.81,0.88,0.63,0.827,1.38,8.64,43.3,4.81e-11,6.17e-09,2.67e-05,"BRZ-Control","NIC3",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1978","AT5G23830","Elongation_Atrichoblast",445,339,1030,475,0.943,0.911,0.947,0.907,0.935,0.937,0.858,9.16,17.3,3.26e-05,0.00111,1,"BRZ-Control","AT5G23830",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1979","AT5G23840","Elongation_Atrichoblast",282,165,701,227,0.849,0.669,0.885,0.76,0.804,0.854,0.903,8.43,18.4,1.81e-05,0.000674,1,"BRZ-Control","AT5G23840",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1980","AT5G23860","Elongation_Atrichoblast",30.6,58,12.6,12.9,0.254,0.331,0.0885,0.2,0.273,0.116,-1.7,4.91,39.7,2.99e-10,3.43e-08,0.000166,"BRZ-Control","TUBB8",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1981","AT5G24760","Elongation_Atrichoblast",27.6,7.34,48.8,14.7,0.231,0.115,0.327,0.213,0.202,0.299,0.876,4.68,10.7,0.00105,0.0205,1,"BRZ-Control","AT5G24760",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1982","AT5G25450","Elongation_Atrichoblast",18.6,16.8,64.7,55.8,0.139,0.153,0.23,0.4,0.142,0.272,1.77,5.24,52.8,3.87e-13,6.91e-11,2.15e-07,"BRZ-Control","QCR7-2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1983","AT5G26280","Elongation_Atrichoblast",131,227,392,374,0.624,0.854,0.801,0.92,0.681,0.831,1.15,8.13,29.7,5.02e-08,3.6e-06,0.0278,"BRZ-Control","AT5G26280",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1984","AT5G26290","Elongation_Atrichoblast",2.34,8.04,10.6,15.9,0.0252,0.121,0.0929,0.213,0.049,0.123,1.52,3.09,17.8,2.51e-05,0.000887,1,"BRZ-Control","AT5G26290",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1985","AT5G27410","Elongation_Atrichoblast",3.68,4.89,11,11.2,0.0399,0.0764,0.0929,0.227,0.049,0.126,1.4,2.9,13.8,0.000204,0.00526,1,"BRZ-Control","AT5G27410",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1986","AT5G27930","Elongation_Atrichoblast",31.3,40.9,58.2,59.9,0.265,0.408,0.429,0.533,0.3,0.455,0.73,5.56,9.94,0.00162,0.0289,1,"BRZ-Control","PPC6-7",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1987","AT5G28020","Elongation_Atrichoblast",87.1,94.3,189,176,0.517,0.541,0.827,0.693,0.523,0.794,1.01,7.09,22,2.68e-06,0.000127,1,"BRZ-Control","CYSD2",NA,NA,"Up","Elongation_Atrichoblast_Up"
"1988","AT5G28540","Elongation_Atrichoblast",58.1,119,41.9,61.7,0.426,0.771,0.288,0.653,0.512,0.379,-0.709,6.15,9.68,0.00186,0.0323,1,"BRZ-Control","MED37A",NA,NA,"Down","Elongation_Atrichoblast_Down"
"1989","AT5G35940","Elongation_Atrichoblast",28.5,56.6,47.6,124,0.174,0.376,0.261,0.547,0.224,0.332,0.941,5.96,17,3.85e-05,0.00127,1,"BRZ-Control","JAL41",NA,NA,"Up","Elongation_Atrichoblast_Up"
