GeneID,Name,Description
AT2G31070,TCP10,TCP domain protein 10
AT2G31180,MYB14,myb domain protein 14
AT2G31210,AT2G31210,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G31215,AT2G31215,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G31220,AT2G31220,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G31230,ERF15,ethylene-responsive element binding factor 15
AT2G31370,AT2G31370,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G32370,HDG3,homeodomain GLABROUS 3
AT2G32460,MYB101,myb domain protein 101
AT2G33290,SUVH2,SU(VAR)3-9 homolog 2
AT2G33480,NAC041,NAC domain containing protein 41
AT2G33500,BBX12,B-box type zinc finger protein with CCT domain-containing protein
AT2G33710,AT2G33710,Integrase-type DNA-binding superfamily protein
AT2G33810,SPL3,squamosa promoter binding protein-like 3
AT2G33860,ETT,Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein
AT2G33880,HB-3,homeobox-3
AT2G34140,AT2G34140,Dof-type zinc finger DNA-binding family protein
AT2G34440,AGL29,AGAMOUS-like 29
AT2G34600,JAZ7,jasmonate-zim-domain protein 7
AT2G34710,PHB,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
AT2G34720,NF-YA4,"nuclear factor Y, subunit A4"
AT2G34820,AT2G34820,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G34830,WRKY35,WRKY DNA-binding protein 35
AT2G34880,MEE27,Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
AT2G35160,SUVH5,SU(VAR)3-9 homolog 5
AT2G35310,AT2G35310,Transcriptional factor B3 family protein
AT2G35530,bZIP16,basic region/leucine zipper transcription factor 16
AT2G35700,ERF38,ERF family protein 38
AT2G35940,BLH1,BEL1-like homeodomain 1
AT2G36010,E2F3,E2F transcription factor 3
AT2G36080,ABS2,AP2/B3-like transcriptional factor family protein
AT2G36270,ABI5,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G36450,HRD,Integrase-type DNA-binding superfamily protein
AT2G36610,HB22,homeobox protein 22
AT2G36890,RAX2,Duplicated homeodomain-like superfamily protein
AT2G36960,TKI1,TSL-kinase interacting protein 1
AT2G37000,AT2G37000,TCP family transcription factor
AT2G37120,AT2G37120,S1FA-like DNA-binding protein
AT2G37260,TTG2,WRKY family transcription factor family protein
AT2G37430,ZAT11,C2H2 and C2HC zinc fingers superfamily protein
AT2G37590,DOF2.4,DNA binding with one finger 2.4
AT2G37630,AS1,myb-like HTH transcriptional regulator family protein
AT2G37650,AT2G37650,GRAS family transcription factor
AT2G37740,ZFP10,zinc-finger protein 10
AT2G38090,AT2G38090,Duplicated homeodomain-like superfamily protein
AT2G38300,AT2G38300,myb-like HTH transcriptional regulator family protein
AT2G38340,DREB19,Integrase-type DNA-binding superfamily protein
AT2G38470,WRKY33,WRKY DNA-binding protein 33
AT2G38880,NF-YB1,"nuclear factor Y, subunit B1"
AT2G38950,AT2G38950,Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
AT2G39250,SNZ,Integrase-type DNA-binding superfamily protein
AT2G39880,MYB25,myb domain protein 25
AT2G40200,AT2G40200,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G40210,AGL48,AGAMOUS-like 48
AT2G40220,ABI4,Integrase-type DNA-binding superfamily protein
AT2G40260,AT2G40260,Homeodomain-like superfamily protein
AT2G40340,DREB2C,Integrase-type DNA-binding superfamily protein
AT2G40350,AT2G40350,Integrase-type DNA-binding superfamily protein
AT2G40620,AT2G40620,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G40740,WRKY55,WRKY DNA-binding protein 55
AT2G40750,WRKY54,WRKY DNA-binding protein 54
AT2G40950,BZIP17,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G40970,MYBC1,Homeodomain-like superfamily protein
AT2G41070,EEL,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G41130,AT2G41130,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G41240,BHLH100,basic helix-loop-helix protein 100
AT2G41690,HSFB3,heat shock transcription factor B3
AT2G41710,AT2G41710,Integrase-type DNA-binding superfamily protein
AT2G41835,AT2G41835,"zinc finger (C2H2 type, AN1-like) family protein"
AT2G41940,ZFP8,zinc finger protein 8
AT2G42200,SPL9,squamosa promoter binding protein-like 9
AT2G42280,FBH4,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G42300,AT2G42300,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G42380,BZIP34,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G42410,ZFP11,zinc finger protein 11
AT2G42660,AT2G42660,Homeodomain-like superfamily protein
AT2G42680,MBF1A,multiprotein bridging factor 1A
AT2G42830,SHP2,K-box region and MADS-box transcription factor family protein
AT2G43000,NAC042,NAC domain containing protein 42
AT2G43010,PIF4,phytochrome interacting factor 4
AT2G43140,AT2G43140,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G44745,WRKY12,WRKY family transcription factor
AT2G44840,ERF13,ethylene-responsive element binding factor 13
AT2G44910,HB4,homeobox-leucine zipper protein 4
AT2G44940,AT2G44940,Integrase-type DNA-binding superfamily protein
AT2G45050,GATA2,GATA transcription factor 2
AT2G45120,AT2G45120,C2H2-like zinc finger protein
AT2G45160,HAM1,GRAS family transcription factor
AT2G45190,AFO,Plant-specific transcription factor YABBY family protein
AT2G45650,AGL6,AGAMOUS-like 6
AT2G45660,AGL20,AGAMOUS-like 20
AT2G45680,TCP9,TCP family transcription factor
AT2G46130,WRKY43,WRKY DNA-binding protein 43
AT2G46270,GBF3,G-box binding factor 3
AT2G46310,CRF5,cytokinin response factor 5
AT2G46400,WRKY46,WRKY DNA-binding protein 46
AT2G46410,CPC,Homeodomain-like superfamily protein
AT2G46510,AIB,ABA-inducible BHLH-type transcription factor
AT2G46530,ARF11,auxin response factor 11
AT2G46590,DAG2,Dof-type zinc finger DNA-binding family protein
AT2G46680,HB-7,homeobox 7
AT2G46770,NST1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT2G46790,PRR9,pseudo-response regulator 9
AT2G46810,AT2G46810,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G46830,CCA1,circadian clock associated 1
AT2G46870,NGA1,AP2/B3-like transcriptional factor family protein
AT2G46970,PIL1,phytochrome interacting factor 3-like 1
AT2G47070,SPL1,squamosa promoter binding protein-like 1
AT2G47190,MYB2,myb domain protein 2
AT2G47210,AT2G47210,myb-like transcription factor family protein
AT2G47260,WRKY23,WRKY DNA-binding protein 23
AT2G47460,MYB12,myb domain protein 12
AT2G47520,ERF71,Integrase-type DNA-binding superfamily protein
AT2G47810,NF-YB5,"nuclear factor Y, subunit B5"
AT2G47890,AT2G47890,B-box type zinc finger protein with CCT domain-containing protein
AT2G47900,TLP3,tubby like protein 3
AT3G01080,WRKY58,WRKY DNA-binding protein 58
AT3G01140,MYB106,myb domain protein 106
AT3G01220,HB20,homeobox protein 20
AT3G01330,DEL3,DP-E2F-like protein 3
AT3G01470,HB-1,homeobox 1
AT3G01600,NAC044,NAC domain containing protein 44
AT3G01970,WRKY45,WRKY DNA-binding protein 45
AT3G02150,PTF1,plastid transcription factor 1
AT3G02310,2-Sep,K-box region and MADS-box transcription factor family protein
AT3G02380,COL2,CONSTANS-like 2
AT3G02940,MYB107,myb domain protein 107
AT3G02990,HSFA1E,heat shock transcription factor A1E
AT3G03200,NAC045,NAC domain containing protein 45
AT3G03260,HDG8,homeodomain GLABROUS 8
AT3G03450,RGL2,RGA-like 2
AT3G03660,WOX11,WUSCHEL related homeobox 11
AT3G03750,SDG20,SET domain protein 20
AT3G04030,MYR2,Homeodomain-like superfamily protein
AT3G04060,NAC046,NAC domain containing protein 46
AT3G04070,NAC047,NAC domain containing protein 47
AT3G04100,AGL57,AGAMOUS-like 57
AT3G04420,NAC048,NAC domain containing protein 48
AT3G04430,NAC049,NAC domain containing protein 49
AT3G04450,AT3G04450,Homeodomain-like superfamily protein
AT3G04670,WRKY39,WRKY DNA-binding protein 39
AT3G05690,NF-YA2,"nuclear factor Y, subunit A2"
AT3G05860,AT3G05860,MADS-box transcription factor family protein
AT3G06120,MUTE,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G06160,AT3G06160,AP2/B3-like transcriptional factor family protein
AT3G06220,AT3G06220,AP2/B3-like transcriptional factor family protein
AT3G06380,TLP9,tubby-like protein 9
AT3G06490,MYB108,myb domain protein 108
AT3G06740,GATA15,GATA transcription factor 15
AT3G07340,AT3G07340,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G07650,COL9,CONSTANS-like 9
AT3G09370,MYB3R-3,myb domain protein 3r-3
AT3G09600,RVE8,Homeodomain-like superfamily protein
AT3G10480,NAC050,NAC domain containing protein 50
AT3G10490,NAC052,NAC domain containing protein 52
AT3G10580,AT3G10580,Homeodomain-like superfamily protein
AT3G10590,AT3G10590,Duplicated homeodomain-like superfamily protein
AT3G10760,AT3G10760,Homeodomain-like superfamily protein
AT3G11020,DREB2B,DRE/CRT-binding protein 2B
AT3G11260,WOX5,WUSCHEL related homeobox 5
AT3G11580,AT3G11580,AP2/B3-like transcriptional factor family protein
AT3G12250,TGA6,TGACG motif-binding factor 6
AT3G12720,MYB67,myb domain protein 67
AT3G12730,AT3G12730,Homeodomain-like superfamily protein
AT3G13040,AT3G13040,myb-like HTH transcriptional regulator family protein
AT3G13540,MYB5,myb domain protein 5
AT3G13890,MYB26,myb domain protein 26
AT3G14020,NF-YA6,"nuclear factor Y, subunit A6"
AT3G15030,TCP4,TCP family transcription factor 4
AT3G15170,CUC1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT3G15210,ERF4,ethylene responsive element binding factor 4
AT3G15270,SPL5,squamosa promoter binding protein-like 5
AT3G15500,NAC3,NAC domain containing protein 3
AT3G15510,NAC2,NAC domain containing protein 2
AT3G16280,AT3G16280,Integrase-type DNA-binding superfamily protein
AT3G16770,EBP,ethylene-responsive element binding protein
AT3G16870,GATA17,GATA transcription factor 17
AT3G17609,HYH,HY5-homolog
AT3G17730,NAC057,NAC domain containing protein 57
AT3G18010,WOX1,WUSCHEL related homeobox 1
AT3G18100,MYB4R1,myb domain protein 4r1
AT3G18400,NAC058,NAC domain containing protein 58
AT3G18550,BRC1,TCP family transcription factor
AT3G18990,VRN1,AP2/B3-like transcriptional factor family protein
AT3G20840,PLT1,Integrase-type DNA-binding superfamily protein
AT3G20910,NF-YA9,"nuclear factor Y, subunit A9"
AT3G21175,ZML1,ZIM-like 1
AT3G21270,DOF2,DOF zinc finger protein 2
AT3G21330,AT3G21330,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G23130,SUP,C2H2 and C2HC zinc fingers superfamily protein
AT3G23210,bHLH34,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G23220,ESE1,Integrase-type DNA-binding superfamily protein
AT3G23240,ERF1,ethylene response factor 1
AT3G23250,MYB15,myb domain protein 15
AT3G24050,GATA1,GATA transcription factor 1
AT3G24120,AT3G24120,Homeodomain-like superfamily protein
AT3G24310,MYB305,myb domain protein 305
AT3G24650,ABI3,AP2/B3-like transcriptional factor family protein
AT3G25730,EDF3,ethylene response DNA binding factor 3
AT3G25890,CRF11,Integrase-type DNA-binding superfamily protein
AT3G26790,FUS3,AP2/B3-like transcriptional factor family protein
AT3G27010,TCP20,"TEOSINTE BRANCHED 1, cycloidea, PCF (TCP)-domain family protein 20"
AT3G28910,MYB30,myb domain protein 30
AT3G29020,MYB110,myb domain protein 110
AT3G29035,NAC3,NAC domain containing protein 3
AT3G30260,AGL79,AGAMOUS-like 79
AT3G30530,bZIP42,basic leucine-zipper 42
AT3G44350,NAC061,NAC domain containing protein 61
AT3G45150,TCP16,TCP domain protein 16
AT3G45170,GATA14,GATA transcription factor 14
AT3G45610,DOF6,Dof-type zinc finger DNA-binding family protein
AT3G46070,AT3G46070,C2H2-type zinc finger family protein
AT3G46090,ZAT7,C2H2 and C2HC zinc fingers superfamily protein
AT3G46640,PCL1,Homeodomain-like superfamily protein
AT3G47500,CDF3,cycling DOF factor 3
AT3G47600,MYB94,myb domain protein 94
AT3G47620,TCP14,"TEOSINTE BRANCHED, cycloidea and PCF (TCP) 14"
AT3G48920,MYB45,myb domain protein 45
AT3G49530,NAC062,NAC domain containing protein 62
AT3G50260,CEJ1,cooperatively regulated by ethylene and jasmonate 1
AT3G50410,OBP1,OBF binding protein 1
AT3G50870,MNP,GATA type zinc finger transcription factor family protein
AT3G51080,GATA6,GATA transcription factor 6
AT3G52440,AT3G52440,Dof-type zinc finger DNA-binding family protein
AT3G53600,AT3G53600,C2H2-type zinc finger family protein
AT3G54340,AP3,K-box region and MADS-box transcription factor family protein
AT3G54620,BZIP25,basic leucine zipper 25
AT3G54810,BME3,Plant-specific GATA-type zinc finger transcription factor family protein
AT3G54990,SMZ,Integrase-type DNA-binding superfamily protein
AT3G55370,OBP3,OBF-binding protein 3
AT3G55730,MYB109,myb domain protein 109
AT3G56530,NAC064,NAC domain containing protein 64
AT3G56970,bHLH38,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G56980,bHLH39,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G57230,AGL16,AGAMOUS-like 16
AT3G57390,AGL18,AGAMOUS-like 18
AT3G57480,AT3G57480,"zinc finger (C2H2 type, AN1-like) family protein"
AT3G57600,AT3G57600,Integrase-type DNA-binding superfamily protein
AT3G57920,SPL15,squamosa promoter binding protein-like 15
AT3G58120,BZIP61,Basic-leucine zipper (bZIP) transcription factor family protein
AT3G58780,SHP1,K-box region and MADS-box transcription factor family protein
AT3G59060,PIL6,phytochrome interacting factor 3-like 6
AT3G60390,HAT3,homeobox-leucine zipper protein 3
AT3G60530,GATA4,GATA transcription factor 4
AT3G61120,AGL13,AGAMOUS-like 13
AT3G61150,HDG1,homeodomain GLABROUS 1
AT3G61250,MYB17,myb domain protein 17
AT3G61630,CRF6,cytokinin response factor 6
AT3G61850,DAG1,Dof-type zinc finger DNA-binding family protein
AT3G61890,HB-12,homeobox 12
AT3G61910,NAC066,NAC domain protein 66
AT3G66656,AGL91,AGAMOUS-like 91
AT4G00050,UNE10,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G00120,IND,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G00180,YAB3,Plant-specific transcription factor YABBY family protein
AT4G00540,MYB3R2,myb domain protein 3r2
AT4G00730,ANL2,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
AT4G00870,AT4G00870,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G00940,AT4G00940,Dof-type zinc finger DNA-binding family protein
AT4G01250,WRKY22,WRKY family transcription factor
AT4G01500,NGA4,AP2/B3-like transcriptional factor family protein
AT4G01540,NTM1,NAC with transmembrane motif1
AT4G01550,NAC069,NAC domain containing protein 69
AT4G01680,MYB55,myb domain protein 55
AT4G01720,WRKY47,WRKY family transcription factor
AT4G02640,BZO2H1,bZIP transcription factor family protein
AT4G03250,AT4G03250,Homeodomain-like superfamily protein
AT4G04450,WRKY42,WRKY family transcription factor
AT4G06746,RAP2.9,related to AP2 9
AT4G08150,KNAT1,homeobox knotted-like protein
AT4G09180,FBH2,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G09450,AT4G09450,Duplicated homeodomain-like superfamily protein
AT4G09820,TT8,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G09960,STK,K-box region and MADS-box transcription factor family protein
AT4G11070,WRKY41,WRKY family transcription factor
AT4G11660,AT-HSFB2B,winged-helix DNA-binding transcription factor family protein
AT4G11880,AGL14,AGAMOUS-like 14
AT4G13040,AT4G13040,Integrase-type DNA-binding superfamily protein
AT4G13640,UNE16,Homeodomain-like superfamily protein
AT4G14410,bHLH104,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G16430,AT4G16430,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G16750,AT4G16750,Integrase-type DNA-binding superfamily protein
AT4G16780,HB-2,homeobox protein 2
AT4G17460,HAT1,Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein
AT4G17490,ERF6,ethylene responsive element binding factor 6
AT4G17500,ERF-1,ethylene responsive element binding factor 1
AT4G17880,MYC4,Basic helix-loop-helix (bHLH) DNA-binding family protein
AT4G18020,APRR2,CheY-like two-component responsive regulator family protein
AT4G18170,WRKY28,WRKY DNA-binding protein 28
AT4G18390,TCP2,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 2"
AT4G18450,AT4G18450,Integrase-type DNA-binding superfamily protein
AT4G18870,AT4G18870,E2F/DP family winged-helix DNA-binding domain-containing protein
AT4G18880,HSF A4A,heat shock transcription factor A4A
AT4G18960,AG,K-box region and MADS-box transcription factor family protein
AT4G21030,ATDOF4.2,Dof-type zinc finger domain-containing protein
AT4G21040,DOF4.3,Dof-type zinc finger domain-containing protein
AT4G21050,DOF4.4,Dof-type zinc finger domain-containing protein
AT4G21080,DOF4.5,Dof-type zinc finger domain-containing protein
AT4G21550,VAL3,VP1/ABI3-like 3
AT4G21750,ATML1,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
AT4G22070,WRKY31,WRKY DNA-binding protein 31
AT4G22950,AGL19,AGAMOUS-like 19
AT4G23550,WRKY29,WRKY family transcription factor
AT4G23750,CRF2,cytokinin response factor 2
AT4G23810,WRKY53,WRKY family transcription factor
AT4G24060,AT4G24060,Dof-type zinc finger DNA-binding family protein
AT4G24240,WRKY7,WRKY DNA-binding protein 7
AT4G24470,ZIM,GATA-type zinc finger protein with TIFY domain-containing protein
AT4G24540,AGL24,AGAMOUS-like 24
AT4G26150,CGA1,cytokinin-responsive gata factor 1
AT4G26440,WRKY34,WRKY DNA-binding protein 34
AT4G26640,WRKY20,WRKY family transcription factor family protein
AT4G27410,RD26,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT4G28500,NAC073,NAC domain containing protein 73
AT4G28530,NAC074,NAC domain containing protein 74
AT4G28610,PHR1,phosphate starvation response 1
AT4G29940,PRHA,pathogenesis related homeodomain protein A
AT4G30080,ARF16,auxin response factor 16
AT4G30980,LRL2,LJRHL1-like 2
AT4G31550,WRKY11,WRKY DNA-binding protein 11
AT4G31640,AT4G31640,transcriptional factor B3 family protein
AT4G31660,AT4G31660,AP2/B3-like transcriptional factor family protein
AT4G31680,AT4G31680,Transcriptional factor B3 family protein
AT4G31690,AT4G31690,transcriptional factor B3 family protein
AT4G31920,RR10,response regulator 10
AT4G32010,HSL1,HSI2-like 1
AT4G32730,PC-MYB1,Homeodomain-like protein
AT4G32880,HB-8,homeobox-leucine zipper protein ATHB-8
AT4G32890,GATA9,GATA transcription factor 9
AT4G32980,ATH1,homeobox protein ATH1
AT4G33280,AT4G33280,AP2/B3-like transcriptional factor family protein
AT4G33450,MYB69,myb domain protein 69
AT4G34410,RRTF1,redox responsive transcription factor 1
AT4G34590,GBF6,G-box binding factor 6
AT4G34610,BLH6,BEL1-like homeodomain 6
AT4G34680,GATA3,GATA transcription factor 3
AT4G35040,bZIP19,Basic-leucine zipper (bZIP) transcription factor family protein
AT4G35280,DAZ2,C2H2-like zinc finger protein
AT4G35550,WOX13,WUSCHEL related homeobox 13
AT4G35580,NTL9,NAC transcription factor-like 9
AT4G36060,bHLH11,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G36240,GATA7,GATA transcription factor 7
AT4G36590,AT4G36590,MADS-box transcription factor family protein
AT4G36620,GATA19,GATA transcription factor 19
AT4G36740,HB40,homeobox protein 40
AT4G36870,BLH2,BEL1-like homeodomain 2
AT4G36900,RAP2.10,related to AP2 10
AT4G36920,AP2,Integrase-type DNA-binding superfamily protein
AT4G36990,HSF4,heat shock factor 4
AT4G37180,AT4G37180,Homeodomain-like superfamily protein
AT4G37730,bZIP7,basic leucine-zipper 7
AT4G37750,ANT,Integrase-type DNA-binding superfamily protein
AT4G37780,MYB87,myb domain protein 87
AT4G37790,HAT22,Homeobox-leucine zipper protein family
AT4G37850,AT4G37850,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G37940,AGL21,AGAMOUS-like 21
AT4G38000,DOF4.7,DNA binding with one finger 4.7
AT4G38900,AT4G38900,Basic-leucine zipper (bZIP) transcription factor family protein
AT4G39410,WRKY13,WRKY DNA-binding protein 13
AT4G40060,HB16,homeobox protein 16
AT5G01200,AT5G01200,Duplicated homeodomain-like superfamily protein
AT5G02030,RPL,POX (plant homeobox) family protein
AT5G02320,MYB3R-5,myb domain protein 3r-5
AT5G03790,HB51,homeobox 51
AT5G04150,BHLH101,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G04410,NAC2,NAC domain containing protein 2
AT5G04640,AGL99,AGAMOUS-like 99
AT5G05410,DREB2A,DRE-binding protein 2A
AT5G05770,WOX7,WUSCHEL related homeobox 7
AT5G05790,AT5G05790,Duplicated homeodomain-like superfamily protein
AT5G06500,AGL96,AGAMOUS-like 96
AT5G06710,HAT14,homeobox leucine zipper protein
AT5G06800,AT5G06800,myb-like HTH transcriptional regulator family protein
AT5G06839,TGA10,bZIP transcription factor family protein
AT5G06950,AHBP-1B,bZIP transcription factor family protein
AT5G06960,OBF5,OCS-element binding factor 5
AT5G07100,WRKY26,WRKY DNA-binding protein 26
AT5G07580,AT5G07580,ethylene-responsive transcription factor
AT5G08070,TCP17,TCP domain protein 17
AT5G08330,TCP11,TCP family transcription factor
AT5G08790,ATAF2,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT5G10030,TGA4,TGACG motif-binding factor 4
AT5G10140,FLC,K-box region and MADS-box transcription factor family protein
AT5G11260,HY5,Basic-leucine zipper (bZIP) transcription factor family protein
AT5G11510,MYB3R-4,myb domain protein 3r-4
AT5G12840,NF-YA1,"nuclear factor Y, subunit A1"
AT5G12870,MYB46,myb domain protein 46
AT5G13080,WRKY75,WRKY DNA-binding protein 75
AT5G13180,NAC083,NAC domain containing protein 83
AT5G13330,Rap2.6L,related to AP2 6l
AT5G13790,AGL15,AGAMOUS-like 15
AT5G14750,MYB66,myb domain protein 66
AT5G15150,HB-3,homeobox 3
AT5G15800,1-Sep,K-box region and MADS-box transcription factor family protein
AT5G16820,HSF3,heat shock factor 3
AT5G17300,RVE1,Homeodomain-like superfamily protein
AT5G17800,MYB56,myb domain protein 56
AT5G17810,WOX12,WUSCHEL related homeobox 12
AT5G18240,MYR1,myb-related protein 1
AT5G18270,ANAC087,NAC domain containing protein 87
AT5G18450,AT5G18450,Integrase-type DNA-binding superfamily protein
AT5G19790,RAP2.11,related to AP2 11
AT5G20240,PI,K-box region and MADS-box transcription factor family protein
AT5G21120,EIL2,ETHYLENE-INSENSITIVE3-like 2
AT5G22290,NAC089,NAC domain containing protein 89
AT5G22380,NAC090,NAC domain containing protein 90
AT5G22570,WRKY38,WRKY DNA-binding protein 38
AT5G23260,TT16,K-box region and MADS-box transcription factor family protein
AT5G23280,AT5G23280,TCP family transcription factor
AT5G24110,WRKY30,WRKY DNA-binding protein 30
AT5G24590,TIP,TCV-interacting protein
AT5G24800,BZIP9,basic leucine zipper 9
AT5G25160,ZFP3,zinc finger protein 3
AT5G25810,tny,Integrase-type DNA-binding superfamily protein
AT5G25830,GATA12,GATA transcription factor 12
AT5G26170,WRKY50,WRKY DNA-binding protein 50
AT5G26580,AGL34,AGAMOUS-like-34
AT5G26930,GATA23,GATA transcription factor 23
AT5G26950,AGL93,AGAMOUS-like 93
AT5G27070,AGL53,AGAMOUS-like 53
AT5G27090,AGL54,AGAMOUS-like 54
AT5G27130,AGL39,AGAMOUS-like 39
AT5G27580,AGL89,AGAMOUS-like 89
AT5G28650,WRKY74,WRKY DNA-binding protein 74
AT5G28770,BZO2H3,bZIP transcription factor family protein
AT5G29000,PHL1,Homeodomain-like superfamily protein
AT5G35550,TT2,Duplicated homeodomain-like superfamily protein
AT5G37260,RVE2,Homeodomain-like superfamily protein
AT5G38620,AT5G38620,MADS-box transcription factor family protein
AT5G38800,bZIP43,basic leucine-zipper 43
AT5G39610,NAC6,NAC domain containing protein 6
AT5G39660,CDF2,cycling DOF factor 2
AT5G39750,AGL81,AGAMOUS-like 81
AT5G39820,NAC094,NAC domain containing protein 94
AT5G40120,AGL76,AGAMOUS-like 76
AT5G40220,AGL43,AGAMOUS-like 43
AT5G40330,MYB23,myb domain protein 23
AT5G40360,MYB115,myb domain protein 115
AT5G41030,AT5G41030,TCP family transcription factor
AT5G41315,GL3,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT5G41410,BEL1,POX (plant homeobox) family protein
AT5G41570,WRKY24,WRKY DNA-binding protein 24
AT5G43270,SPL2,squamosa promoter binding protein-like 2
AT5G43290,WRKY49,WRKY DNA-binding protein 49
AT5G45580,AT5G45580,Homeodomain-like superfamily protein
AT5G45980,WOX8,WUSCHEL related homeobox 8
AT5G46350,WRKY8,WRKY DNA-binding protein 8
AT5G46590,NAC096,NAC domain containing protein 96
AT5G46760,MYC3,Basic helix-loop-helix (bHLH) DNA-binding family protein
AT5G47220,ERF2,ethylene responsive element binding factor 2
AT5G47230,ERF5,ethylene responsive element binding factor 5
AT5G47370,HAT2,Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein
AT5G48670,AGL80,AGAMOUS-like 80
AT5G49300,GATA16,GATA transcription factor 16
AT5G49330,MYB111,myb domain protein 111
AT5G49420,AT5G49420,MADS-box transcription factor family protein
AT5G49450,bZIP1,basic leucine-zipper 1
AT5G49490,AGL83,AGAMOUS-like 83
AT5G49520,WRKY48,WRKY DNA-binding protein 48
AT5G49620,MYB78,myb domain protein 78
AT5G51190,AT5G51190,Integrase-type DNA-binding superfamily protein
AT5G51860,AGL72,K-box region and MADS-box transcription factor family protein
AT5G51870,AGL71,AGAMOUS-like 71
AT5G51910,AT5G51910,TCP family transcription factor
AT5G52020,AT5G52020,Integrase-type DNA-binding superfamily protein
AT5G52600,MYB82,myb domain protein 82
AT5G52830,WRKY27,WRKY DNA-binding protein 27
AT5G53950,CUC2,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT5G53980,HB52,homeobox protein 52
AT5G54230,MYB49,myb domain protein 49
AT5G55690,AT5G55690,MADS-box transcription factor family protein
AT5G56270,WRKY2,WRKY DNA-binding protein 2
AT5G56860,GNC,GATA type zinc finger transcription factor family protein
AT5G57520,ZFP2,zinc finger protein 2
AT5G57620,MYB36,myb domain protein 36
AT5G58890,AGL82,AGAMOUS-like 82
AT5G58900,AT5G58900,Homeodomain-like transcriptional regulator
AT5G59340,WOX2,WUSCHEL related homeobox 2
AT5G59570,BOA,Homeodomain-like superfamily protein
AT5G60200,TMO6,TARGET OF MONOPTEROS 6
AT5G60440,AGL62,AGAMOUS-like 62
AT5G60850,OBP4,OBF binding protein 4
AT5G60890,MYB34,myb domain protein 34
AT5G60910,AGL8,AGAMOUS-like 8
AT5G60970,TCP5,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5"
AT5G61270,PIF7,phytochrome-interacting factor7
AT5G61590,AT5G61590,Integrase-type DNA-binding superfamily protein
AT5G61600,ERF104,ethylene response factor 104
AT5G62020,HSFB2A,heat shock transcription factor B2A
AT5G62165,AGL42,AGAMOUS-like 42
AT5G62380,NAC101,NAC-domain protein 101
AT5G62430,CDF1,cycling DOF factor 1
AT5G62940,HCA2,Dof-type zinc finger DNA-binding family protein
AT5G63790,NAC102,NAC domain containing protein 102
AT5G64060,NAC103,NAC domain containing protein 103
AT5G65050,AGL31,AGAMOUS-like 31
